Reaction	In-Pathway	Names
THIOREDOXIN-RXN	THIOREDOX-PWY	thioredoxin pathway
DCYSDESULF-RXN		
RXN-7919		
RXN-22711	ANTHRANSYN-RXN	
LCYSDESULF-RXN		
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	PWY-5344	L-homocysteine biosynthesis
RXN-17609		
RXN0-6485	PWY0-1479	tRNA processing
AIRS-RXN	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
RXN-20152	RXN-20153	
RXN-9533	PWY-5971 // PWY-8279 // PWY-7664	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III // oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
COBALAMIN5PSYN-RXN	COBALSYN-PWY // PWY-5509	superpathway of adenosylcobalamin salvage from cobinamide I // adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
RXN0-5330	PWY-7279	aerobic respiration II (cytochrome c) (yeast)
RXN0-1281		
RXN-9644	PWY0-1337	oleate &beta;-oxidation
RXN-22237	PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>) // lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
RXN-2364	PWY-1281	sulfoacetaldehyde degradation I
RXN-12720	PWY-6932	selenate reduction // selenium metabolism // selenium assimilation
RXN-19381	DCYSDESULF-RXN	
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	PWY-1801	formaldehyde oxidation II (glutathione-dependent) // formaldehyde oxidation II (GSH-dependent)
RXN-13908		
RXN-21000		
ACETOOHBUTREDUCTOISOM-RXN	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)
RXN1-42	PWY1-3	polyhydroxybutanoate biosynthesis // PHB biosynthesis // polyhydroxybutyrate biosynthesis
RXN0-5055	PWY0-1264 // PWY-4381	biotin-carboxyl carrier protein assembly // BCCP assembly // fatty acid biosynthesis initiation (type II) // de novo fatty acid biosynthesis, initial reactions // fatty acid biosynthesis initiation (bacteria and plants)
TETHYDPICSUCC-RXN	DAPLYSINESYN-PWY	L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis
4.2.1.61-RXN	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
RXN-22484	PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic) // lipid-A-precursor biosynthesis (generic)
RXN0-6727	PWY-6938-1	NADH repair (prokaryotes)
RXN-14396		
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	LEU-DEG2-PWY	L-leucine degradation I
RXN-8958	PWY-5741	ethylmalonyl-CoA pathway // ethylmalonyl pathway
HYDROXYLAMINE-REDUCTASE-NADH-RXN	PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation
RXN-14196	CITRULLINE-DEG-PWY // RXN-13202 // RXN-22735	L-citrulline degradation
RXNQT-4178		
RXN-5721		
RXN0-5101		
RXN-15714		
RXN-16820		
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	PWY-5074	mevalonate degradation
GLYOXIII-RXN		
RXN-22024	PWY-8203	8-amino-7-oxononanoate biosynthesis IV // 7-keto-8-aminopelargonate biosynthesis IV
PANTOATE-BETA-ALANINE-LIG-RXN	PANTO-PWY	phosphopantothenate biosynthesis I // vitamin B<sub>5</sub> biosynthesis
RXN0-302	PWY-7560 // NONMEVIPP-PWY	methylerythritol phosphate pathway II // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway // methylerythritol phosphate pathway I
RXN-17393		
RXN-16622	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
RXN-16623	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
3.5.1.88-RXN		
ADENYLATECYC-RXN		
RXN-9787	PWY-6892	thiazole component of thiamine diphosphate biosynthesis I // (<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
RXN-21523	PWY-8159 // OHMETHYLBILANESYN-RXN	dipyrromethane cofactor biosynthesis
RXN-14903	PROUT-PWY	L-proline degradation I // L-proline utilization
ORNCARBAMTRANSFER-RXN	ARGSYN-PWY // CITRULLINE-DEG-PWY // PWY-4984 // ARGSYNBSUB-PWY	L-arginine biosynthesis I (via L-ornithine) // L-citrulline degradation // urea cycle // Krebs ornithine cycle // Krebs-Henseleit cycle // L-arginine biosynthesis II (acetyl cycle)
CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN		
RXN-6264		
RXN-8665	PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
ALCOHOL-DEHYDROG-RXN	PWY0-1477	ethanolamine utilization
DGDPKIN-RXN	PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I
ALDOSE1EPIM-RXN	PWY-6317	D-galactose degradation I (Leloir pathway) // Leloir pathway
RXN-11455		
RXN-9528	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
PGLYCDEHYDROG-RXN	SERSYN-PWY	L-serine biosynthesis I
RXN-20785	PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>) // lipid-A-precursor biosynthesis (<i>P. putida</i>)
1.10.2.2-RXN	PWY-7279 // PWY-3781	aerobic respiration II (cytochrome c) (yeast) // aerobic respiration I (cytochrome c)
ACSERLY-RXN	CYSTSYN-PWY	L-cysteine biosynthesis I
UREASE-RXN	PWY-5704	urea degradation II // urea assimilation
RXN-16950		
ACETATE--COA-LIGASE-RXN	PWY0-1313 // PWY-8303 // PWY-8328	acetate conversion to acetyl-CoA // acetic acid conversion to acetyl-CoA // reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway // acetate and ATP formation from acetyl-CoA III // acetic acid formation from acetyl-CoA III
RXN-9731	PWY-6041	4-sulfocatechol degradation
RXN-20459		
RXN-8763	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
RXN-16690	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
3-OXOACYL-ACP-SYNTH-RXN	FASYN-ELONG-PWY	fatty acid elongation -- saturated
METHGLYSYN-RXN		
RXN-9733	PWY-6041	4-sulfocatechol degradation
CTPSYN-RXN	PWY-7185 // PWY-7176	UTP and CTP dephosphorylation I // pyrimidine nucleotides dephosphorylation // UTP and CTP <i>de novo</i> biosynthesis
RXN-20895		
RXN-7593		
RXN-8667		
RIBOFLAVINSYNREDUC-RXN	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis
GLUCOSAMINE-6-P-DEAMIN-RXN	GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I // glucosamine degradation // N-acetyl-glucosamine degradation
PROTEIN-KINASE-RXN		
RXN-9633	PWY-8280	stearate biosynthesis IV // stearic acid biosynthesis IV
RXN-8959	PWY-5741	ethylmalonyl-CoA pathway // ethylmalonyl pathway
