Time (h),Sample,Value,Type,Initial_C_Glucose,Initial_C_Acetate,Metabolite,Initial_mM_Glucose,Initial_mM_Acetate
0.0,1,38764000.0,counts,4.0,8.0,,0.6666666666666666,4.0
4.0,1,61894000.0,counts,4.0,8.0,,0.6666666666666666,4.0
8.0,1,112149646.0,counts,4.0,8.0,,0.6666666666666666,4.0
12.0,1,240932182.0,counts,4.0,8.0,,0.6666666666666666,4.0
16.0,1,717909681.0,counts,4.0,8.0,,0.6666666666666666,4.0
20.0,1,1089550480.0,counts,4.0,8.0,,0.6666666666666666,4.0
0.0,2,47900000.0,counts,4.0,8.0,,0.6666666666666666,4.0
4.0,2,58794000.0,counts,4.0,8.0,,0.6666666666666666,4.0
8.0,2,86354000.0,counts,4.0,8.0,,0.6666666666666666,4.0
12.0,2,188209617.0,counts,4.0,8.0,,0.6666666666666666,4.0
16.0,2,536400702.0,counts,4.0,8.0,,0.6666666666666666,4.0
20.0,2,1023345302.0,counts,4.0,8.0,,0.6666666666666666,4.0
0.0,3,45104000.0,counts,4.0,8.0,,0.6666666666666666,4.0
4.0,3,58724000.0,counts,4.0,8.0,,0.6666666666666666,4.0
8.0,3,96598000.0,counts,4.0,8.0,,0.6666666666666666,4.0
12.0,3,189651273.0,counts,4.0,8.0,,0.6666666666666666,4.0
16.0,3,612710679.0,counts,4.0,8.0,,0.6666666666666666,4.0
20.0,3,952718230.0,counts,4.0,8.0,,0.6666666666666666,4.0
0.0,1,47326000.0,counts,8.0,4.0,,1.3333333333333333,2.0
4.0,1,54590000.0,counts,8.0,4.0,,1.3333333333333333,2.0
8.0,1,80312000.0,counts,8.0,4.0,,1.3333333333333333,2.0
12.0,1,189002061.0,counts,8.0,4.0,,1.3333333333333333,2.0
16.0,1,485864947.0,counts,8.0,4.0,,1.3333333333333333,2.0
20.0,1,949301181.0,counts,8.0,4.0,,1.3333333333333333,2.0
0.0,2,43520000.0,counts,8.0,4.0,,1.3333333333333333,2.0
4.0,2,51460000.0,counts,8.0,4.0,,1.3333333333333333,2.0
8.0,2,83356000.0,counts,8.0,4.0,,1.3333333333333333,2.0
12.0,2,201559536.0,counts,8.0,4.0,,1.3333333333333333,2.0
16.0,2,464824962.0,counts,8.0,4.0,,1.3333333333333333,2.0
20.0,2,772000719.0,counts,8.0,4.0,,1.3333333333333333,2.0
0.0,3,47080000.0,counts,8.0,4.0,,1.3333333333333333,2.0
4.0,3,45830000.0,counts,8.0,4.0,,1.3333333333333333,2.0
8.0,3,74076000.0,counts,8.0,4.0,,1.3333333333333333,2.0
12.0,3,119965963.0,counts,8.0,4.0,,1.3333333333333333,2.0
16.0,3,402705557.0,counts,8.0,4.0,,1.3333333333333333,2.0
20.0,3,513675370.0,counts,8.0,4.0,,1.3333333333333333,2.0
0.0,,37138000.0,counts,0.0,0.0,,0.0,0.0
4.0,,49100000.0,counts,0.0,0.0,,0.0,0.0
8.0,,54122000.0,counts,0.0,0.0,,0.0,0.0
12.0,,47332000.0,counts,0.0,0.0,,0.0,0.0
