Rank,gene_callers_id,DSS3_ac_mean_abund,DSS3_glc_mean_abund,DSS3_late_mean_abund,DSS3_early_mean_abund,DSS3_ac_v_DSS3_glc_FOLD_CHANGE_prot,DSS3_ac_v_DSS3_late_FOLD_CHANGE_prot,DSS3_ac_v_DSS3_early_FOLD_CHANGE_prot,DSS3_glc_v_DSS3_late_FOLD_CHANGE_prot,DSS3_glc_v_DSS3_early_FOLD_CHANGE_prot,DSS3_late_v_DSS3_early_FOLD_CHANGE_prot,ANOVA p-value,BH_crit,BH_valid,DSS3_ac_v_DSS3_glc_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_late_v_DSS3_early_Tukey_HSD_adjusted_p,SPO_ID (ACCESSION),KOfam (ACCESSION),KEGG_Module,COG20_FUNCTION,n_matches,frame_id,n_reactions,reaction_ids
1,476,2.31233e-05,3.99403e-05,5.78083e-06,5.78083e-06,-0.788497865059653,1.99999875217255,1.99999875217255,2.78849661723221,2.78849661723221,0.0,0.0,1.15154306771073e-05,True,0.0,0.0,0.0,0.0,,,SPO0476,K06162,,Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase PhnM (PhnM),1,SPO_RS02400,3.0,"RXN-17955, RXN-17958, RXN0-6733"
2,231,3.48071e-05,1.34274e-06,1.54698e-05,3.86746e-06,4.69612973677036,1.16992707385868,3.16992334351135,-3.52620266291167,-1.526206393259,1.99999626965267,0.0,2.30308613542146e-05,True,0.0,0.0,0.0,0.0,,,SPO0233,K03719,,"DNA-binding transcriptional regulator, Lrp family (Lrp) (PDB:1I1G)",1,SPO_RS01190,0.0,
3,384,1.12077e-05,6.10199e-06,2.80193e-06,2.80193e-06,0.877138523601651,1.99999742553109,1.99999742553109,1.12285890192944,1.12285890192944,0.0,0.0,3.45462920313219e-05,True,0.0,0.0,0.0,0.0,,,SPO0384,,,"Uncharacterized conserved protein containing a Zn-ribbon-like motif, possibly RNA-binding (PDB:3H0N)",1,SPO_RS22095,0.0,
4,3705,7.20235e-06,1.36442e-05,7.20235e-06,7.20235e-06,-0.921748193122756,0.0,0.0,0.921748193122756,0.921748193122756,0.0,0.0,4.60617227084293e-05,True,0.0,,,0.0,,,SPO3704,K15546,,"Shikimate kinase (AroK) (PDB:1E6C)!!!Archaeal ribosome-binding protein aMBF1, putative translation factor, contains Zn-ribbon and HTH domains (aMBF1) (PDB:2MEZ) (PUBMED:24825021)",1,SPO_RS18790,0.0,
5,1365,8.32089e-06,1.21365e-05,8.32089e-06,8.32089e-06,-0.544542676149955,0.0,0.0,0.544542676149955,0.544542676149955,0.0,0.0,5.75771533855366e-05,True,0.0,,,0.0,,,SPO1363,K00796,"Tetrahydrofolate biosynthesis, GTP => THF",Dihydropteroate synthase (FolP) (PDB:1AD1),1,SPO_RS06950,1.0,H2PTEROATESYNTH-RXN
6,311,4.35856e-06,9.76318e-05,3.92271e-05,3.92271e-05,-4.4854276546767,-3.16992720812515,-3.16992720812515,1.31550044655154,1.31550044655154,0.0,0.0,6.90925840626439e-05,True,0.0,0.0,0.0,0.0,,,SPO0313,,,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family (VOC) (PDB:3OXH) (PUBMED:31710815)",1,SPO_RS01600,0.0,
7,425,0.000516461499999999,0.002479256,0.000584622,0.000516071999999999,-2.26937364762805,-0.176448060405641,-0.00109167552640876,2.0929255872224,2.26828197210164,0.175356384879233,8.06362501433707e-09,8.06080147397512e-05,True,0.0,,,0.0,,,SPO0425,,,Uncharacterized conserved protein,1,SPO_RS02150,1.0,2-ISOPROPYLMALATESYN-RXN
8,57,0.005180933,0.0614693893333333,0.006332116,0.00537130666666666,-3.57889303317561,-0.267123805763151,-0.0516458710455669,3.31176922741246,3.52724716213005,0.215477934717584,3.29544737181775e-08,9.21234454168586e-05,True,0.0,,,0.0,,,SPO0057,K03070,,"Preprotein translocase subunit SecA (ATPase, RNA helicase) (SecA) (PDB:2FSF)",1,SPO_RS00290,0.0,
9,558,5.60515e-05,0.000619814333333333,4.78641999999999e-05,7.51550666666666e-05,-3.62047292910465,0.245453993299987,-0.53449323849521,3.86592692240463,3.08597969060944,-0.779947231795198,3.45933229117915e-08,0.000103638876093965,True,0.0,,,0.0,,,SPO0556,K02474,,UDP-N-acetyl-D-mannosaminuronate dehydrogenase (WecC) (PDB:3OJL),1,SPO_RS02805,0.0,
10,3770,0.0025016735,0.036000211,0.00366337466666666,0.00451248066666666,-3.87395282339094,-0.560331506552683,-0.842925940774788,3.31362131683826,3.03102688261615,-0.282594434222104,2.86017524815579e-07,0.000115154306771073,True,0.0,,,0.0,,,SPO3768,K00265,,Glutamate synthase domain 1 (GltB1) (PDB:1EA0)!!!Glutamate synthase domain 2 (GltB2) (PDB:1EA0)!!!Glutamate synthase domain 3 (GltB3) (PDB:1EA0),1,SPO_RS19125,3.0,"GLUTAMATESYN-RXN, GLUTAMIN-RXN, RXN-20084"
