Rank,gene_callers_id,DSS3_ac_mean_abund,DSS3_glc_mean_abund,DSS3_late_mean_abund,DSS3_early_mean_abund,DSS3_ac_v_DSS3_glc_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_late_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_early_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_late_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_early_FOLD_CHANGE_rna,DSS3_late_v_DSS3_early_FOLD_CHANGE_rna,ANOVA p-value,BH_crit,BH_valid,DSS3_ac_v_DSS3_glc_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_late_v_DSS3_early_Tukey_HSD_adjusted_p,SPO_ID (ACCESSION),KOfam (ACCESSION),KEGG_Module,COG20_FUNCTION,n_matches,frame_id,n_reactions,reaction_ids
1,3780,0.067258421,0.003105211,0.003516439,0.00336487,4.436896001,4.258450806,4.322647517,-0.178445195,-0.114248485,0.064196711,1.91461504876911e-12,1.15154306771073e-05,TRUE,0,0,0,,,,SPO3778,K02032,,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppD) (PDB:4FWI)",1,SPO_RS19175,0,
2,3526,0.027681093,0.195700675,0.046759545,0.02501872,-2.825592413,-0.755298815,0.142076198,2.070293598,2.967668611,0.897375014,1.11361385872619e-10,2.30308613542146e-05,TRUE,0,0.0011,,0,,,SPO3527,,,"Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)",1,SPO_RS17870,0,
3,1113,0.01072147,0.000606827,0.000425294,0.000980018,4.143825962,4.659230415,3.456012558,0.515404453,-0.687813404,-1.203217857,1.20907152643599e-10,3.45462920313219e-05,TRUE,0.0002,0.0002,0.0001,,,,SPO1112,K21395,,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)",1,SPO_RS05645,0,
4,368,0.071600519,0.003375004,0.002749032,0.037882331,4.409181594,4.703722388,0.918856428,0.294540794,-3.490325165,-3.78486596,1.43154627888204e-10,4.60617227084293e-05,TRUE,0,0,0,,,,SPO0368,K14447,Ethylmalonyl pathway,"Methylmalonyl-CoA mutase, N-terminal domain/subunit (Sbm) (PDB:6OXC)!!!Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding) (Sbm) (PDB:1B1A)",1,SPO_RS01865,1,RXN-8958
5,323,0.130793752,0.019961359,0.019782867,0.05511289,2.715865271,2.726692338,1.247345867,0.010827067,-1.468519404,-1.479346471,1.99355727177442e-10,5.75771533855366e-05,TRUE,0,0,0,,,,SPO0325,K00023,"Fatty acid biosynthesis, elongation","NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)",1,SPO_RS01655,8,"RXN-22218, RXN-9544, RXN-16112, RXN-16129, RXN-17109, RXN-12560, RXN-13279, RXN-5901"
6,2265,0.00819131,0.000381997,0.001179428,0.001783626,4.428586631,2.804070537,2.204342721,-1.624516094,-2.22424391,-0.599727816,2.40613292152548e-10,6.90925840626439e-05,TRUE,,,,,,,SPO2262,K06904,,Phage head maturation protease,1,SPO_RS11475,0,
7,1013,0.009359678,0.001574074,0.001395101,0.002715088,2.572034475,2.746285617,1.787707483,0.174251142,-0.784326993,-0.958578134,2.77699260764513e-10,8.06080147397512e-05,TRUE,,,0.027,,,,SPO1014,,,O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459),1,SPO_RS05105,0,
8,371,0.187770647,0.015949902,0.01735595,0.026557267,3.558733833,3.438537,2.823185243,-0.120196833,-0.73554859,-0.615351757,2.86319974629796e-10,9.21234454168586e-05,TRUE,0.0008,0.0006,0.0007,,,,SPO0371,K19732,,"DNA-binding transcriptional regulator, CsgD family (CsgD)",1,SPO_RS01880,0,
9,1843,0.018014729,0.005497608,0.005511697,0.026831572,1.712597842,1.709884388,-0.575090508,-0.002713454,-2.28768835,-2.284974896,3.89612024425913e-10,0.000103639,TRUE,0,0,0,,,,SPO1841,K18676,,"BadF-type ATPase, related to human N-acetylglucosamine kinase (BadF) (PUBMED:17954692;12761179;12761179)",1,SPO_RS09365,0,
10,370,0.355326181,0.010745652,0.008741852,0.187370161,5.047808663,5.345034401,0.922353487,0.297225738,-4.125455176,-4.422680914,5.35654909710184e-10,0.000115154,TRUE,0,0,0,,,,SPO0370,K14446,Ethylmalonyl pathway,NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY),1,SPO_RS01875,2,"RXN-18384, RXN-8957"
11,4295,0.00824834,0.001155161,0.00120269,0.001335158,2.840538579,2.781295172,2.630710058,-0.059243407,-0.209828522,-0.150585114,6.1610760898084e-10,0.00012667,TRUE,,,,,,,SPOA0398,,,,1,SPO_RS21850,0,
12,1862,0.019571043,0.005000536,0.006112752,0.007072828,1.969580741,1.680913399,1.468691635,-0.288667342,-0.500889106,-0.212221764,7.01305955719254e-10,0.000138185,TRUE,0,0,0,0.0089,,,SPO1860,K07093,,"Secreted phosphatase, PhoX family (PhoX) (PDB:3ZWU)",1,SPO_RS09455,0,
13,3148,0.093435604,0.016562314,0.013094065,0.089458712,2.501661226,2.836183919,0.062493001,0.334522693,-2.439168225,-2.773690918,7.39383104803779e-10,0.000149701,TRUE,0,0,,,,,SPO3152,K17865,Ethylmalonyl pathway,Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8),1,SPO_RS15970,0,
14,3012,0.036052464,0.008514082,0.011692323,0.030502193,2.088202231,1.625735079,0.24123923,-0.462467152,-1.846963001,-1.384495849,1.0460010961164e-09,0.000161216,TRUE,0.0001,0.0001,0.008,0.025,,,SPO3015,K03576,,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",1,SPO_RS15285,0,
15,351,0.032424158,0.004597131,0.002837434,0.030489213,2.822420189,3.518669483,0.087508133,0.696249294,-2.734912056,-3.43116135,1.33732791818335e-09,0.000172731,TRUE,0,0,,,,,SPO0352,K14451,Ethylmalonyl pathway,Citrate lyase beta subunit (CitE) (PDB:4ROQ),1,SPO_RS01790,0,
16,1063,0.000555949,0.007425265,0.002252967,0.000542747,-3.74770592,-2.021268098,0.026643846,1.726437822,3.774349766,2.047911944,1.36064915305253e-09,0.000184247,TRUE,,,,,,,SPO1063,,,"Forkhead associated (FHA) domain, binds pSer, pThr, pTyr (FHA) (PDB:2FEZ)",1,SPO_RS05395,0,
17,2266,0.003561127,0.000138267,0.000605511,0.000944981,4.780354874,2.562316371,1.918778791,-2.218038504,-2.861576083,-0.64353758,1.72475236037124e-09,0.000195762,TRUE,,,,,,,SPO2263,,,,1,SPO_RS11480,0,
18,692,0.088120192,0.003895553,0.002898692,0.060699122,4.505726932,4.928113113,0.538470455,0.422386181,-3.967256477,-4.389642658,1.7992560724755e-09,0.000207278,TRUE,0,0,0,,,,SPO0693,K14448,Ethylmalonyl pathway,Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC),1,SPO_RS03500,18,"RXN-13615, RXN-14229, RXN-14278, BUTYRYL-COA-DEHYDROGENASE-RXN, ACYLCOADEHYDROG-RXN, RXN-17783, RXN-17779, RXN-17775, RXN-9526, RXN-9538, RXN-9530, RXN-9521, RXN-22455, RXN-9542, RXN-9515, RXN-9534, ENOYL-ACP-REDUCT-NADPH-RXN, RXN-8959"
