Time (hours)	Glc_A	Glc_B	Glc_C	Ac_D	Ac_E	Ac_F	Blank_G
0	0	0	0	0	0	0	0
0.47055	-0.229982464	0.07765178	-0.284946651	0.524864317	0.262786407	0.47645449	0
0.9411	-0.429603775	0.750366471	-0.298537798	1.346107394	0.856851022	0.810059399	0
1.41165	-0.463972415	1.01979468	-0.398031916	1.705483716	2.06354549	1.027599884	0
1.8822	0.014298867	1.479055687	-0.44743708	2.102049802	2.629631738	1.33008564	0
2.35275	0.558573027	2.079849352	-0.619393697	2.480241885	3.208480923	1.685386156	0
2.8233	0.870002729	2.68691798	-0.333287857	3.471761603	3.810900741	2.302077376	0
3.29385	1.653299823	3.42131609	0.183971416	4.650346499	4.80114956	3.24028134	0
3.7644	2.285075317	3.960053126	0.476258618	5.747530405	5.831112103	3.998418074	0
4.23495	3.809173938	5.437186112	1.596086929	7.914829506	7.833549108	5.508277599	0
4.7055	5.281982945	6.249023199	2.546557407	9.0715525	10.35220741	6.614794751	0
5.17605	5.731269346	6.920785303	2.652771784	10.41144027	11.99908834	7.801243585	0
5.6466	6.403084764	7.471372734	3.246480562	12.5244715	13.72457164	9.375431131	0
6.11715	6.775958751	7.921255767	3.339611785	14.61135635	15.32606984	11.14785927	0
6.5877	7.835731885	8.451580077	3.764773378	17.13614951	17.34684455	13.45955072	0
7.05825	8.50275964	9.242029213	4.322798683	19.84881611	19.81297657	15.37840855	0
7.5288	9.501185583	9.949240885	4.776122022	22.87928394	22.42196398	18.06233799	0
7.99935	10.64492004	10.88730667	5.318908282	26.16209822	25.21015044	20.9761219	0
8.4699	11.49310167	11.76291364	5.913525692	30.25966609	28.58981481	24.30480606	0
8.94045	12.03381487	12.55031035	6.338378681	34.37067003	32.40692058	27.69709638	0
9.411	13.04212193	13.47406109	7.056534974	38.47223139	36.41415201	31.40772954	0
9.88155	13.68246933	14.26091077	7.754899884	43.09458465	39.73665025	35.48236726	0
10.3521	14.88669003	15.66404403	8.802662246	48.2146189	45.28248263	40.21125268	0
10.82265	16.10549952	16.61818705	9.728299316	53.59500336	50.26262181	45.15735171	0
11.2932	17.2857959	18.05649152	10.43959714	59.79808925	55.94461024	50.7211823	0
11.76375	18.34393333	19.08735824	11.22695478	65.99109162	61.81483442	56.29706005	0
12.2343	19.66176599	20.51564079	12.30121471	73.36493903	68.861266	62.99695551	0
12.70485	21.45249883	22.34506268	13.81684414	81.56877015	76.00311872	70.02364793	0
13.1754	23.05653441	24.47902368	15.63817954	91.38134457	84.84880687	78.31811136	0
13.64595	24.98446094	26.63851043	17.0697742	102.0726451	94.44898027	87.07168848	0
14.1165	27.36789249	28.84751653	19.3648194	113.4033768	105.1371122	96.88840142	0
14.58705	28.97189268	30.55150406	20.05928285	125.4548984	115.4991089	106.3507686	0
15.0576	31.73824152	33.20734464	21.93705834	139.0487302	127.4698348	117.7555025	0
15.52815	34.41618349	35.99803573	23.86475771	154.4470186	140.5749029	129.7772956	0
15.9987	37.90351306	39.81521952	26.44821457	171.0969616	155.2892011	143.2851113	0
16.46925	41.02413325	43.34776199	28.7335102	189.4649138	170.6416525	157.8892135	0
16.9398	44.00310131	46.05717702	30.81867355	208.8459425	186.8173368	173.4059461	0
17.41035	44.24853045	46.79983947	30.24961649	227.6640457	201.8471447	187.6556776	0
17.8809	47.79833244	50.79481627	32.9795264	251.3635186	221.6371241	206.2395468	0
18.35145	52.21871038	55.48353841	36.52146299	277.3111387	242.7776343	227.7167154	0
18.822	56.47952202	59.95090976	39.72231824	305.458618	265.9147001	249.8483294	0
19.29255	61.22319101	65.0238583	43.50076261	332.5513124	292.1141946	274.3722041	0
19.7631	66.08818574	70.31410388	47.53686611	356.2550479	317.7427725	301.1144115	0
20.23365	71.56363178	76.32238847	52.38331898	378.4729639	341.1919999	325.6374907	0
20.7042	77.1031477	82.77878729	56.71333257	398.9529075	362.8165113	348.1404228	0
21.17475	83.5102386	90.25228181	62.0632615	417.4829911	382.7124601	369.1031514	0
21.6453	90.51822897	98.56317679	68.38922362	434.7024852	401.3093419	388.4366632	0
22.11585	97.67038279	106.5855332	74.45141206	449.6390251	417.8811177	405.2762285	0
22.5864	105.4108033	115.6928277	81.05863096	463.2287569	433.2432003	420.6956335	0
23.05695	114.0870019	125.8444008	88.39050356	475.6560659	447.2753099	435.1080521	0
23.5275	123.6657034	136.6423763	96.3985088	487.2079173	460.5252043	448.3530166	0
23.99805	134.825354	149.5932797	104.7575444	497.4153165	472.6725372	459.7669366	0
24.4686	145.3050277	163.2999259	113.4775694	507.1712489	483.6410083	470.3825032	0
24.93915	157.1946424	177.94059	122.9533757	515.9469583	493.9211724	480.5871729	0
25.4097	170.0644543	193.9173363	133.6531264	524.1869666	503.9736899	490.1207309	0
25.88025	183.7931818	210.8611345	144.265938	531.6314471	513.2481311	498.7721353	0
26.3508	198.7390064	229.5250325	156.6793093	538.8140834	521.5530264	507.0152	0
26.82135	215.1825096	249.3812731	170.0109665	545.3929919	529.4096995	514.332004	0
27.2919	231.0668036	270.335044	183.3508822	550.7938409	536.0979034	520.8160018	0
27.76245	248.7221129	292.4159857	197.7524475	556.5524672	542.8646393	527.2087768	0
28.233	266.5832077	315.5835855	213.0872411	561.5779734	548.8788314	533.0317932	0
28.70355	286.6684012	337.5809869	229.0867579	565.9865869	554.5153494	538.1899195	0
29.1741	309.9250603	357.9818569	247.1382331	571.4904475	560.5148343	544.1148086	0
