source	ec_number	kcat_value	kcat_value_end	kcat_unit	substrate	organism	uniprot_id	bigg_reaction_ids	bigg_match_basis	substrate_mnx	product_mnx	pH	temperature_C	buffer	cellular_location	sabiork_entry_id	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id	parameter.name	param_type	substrate_from_param	parameter.standardDeviation	Product
SABIO-RK	1.5.1.3	6.18		1/s	Dihydrofolate;NADPH;H+	Escherichia coli	P0ABQ4	DHFR	ec:1.00+uniprot:0.50+metabolites:0.25=1.75	MNXM1103936	MNXM1;MNXM281;MNXM738702	7.0	15.0	[ 50 mM Morpholinoethanesulfonic acid, 25 mM tris(hydroxymethyl)aminomethane, 25 mM ethanolamine, 100 mM NaCl, 14 mM 2-mercaptoethanol,  50 mM Morpholinoethanesulfonic acid, 25 mM tris(hydroxymethyl)aminomethane, 25 mM ethanolamine, 100 mM NaCl, 14 mM 2-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	100	100	R00939	R-DRE-197972;R-SSC-197972;R-MMU-197972;R-XTR-197972;R-CEL-197972;R-HSA-197972;R-SCE-197972;R-BTA-197972;R-CFA-197972;R-TGU-197972;R-DDI-197972;R-GGA-197972;R-SPO-197972;R-DME-197972;R-RNO-197972	15740745.0	k_cat	kcat		-	5,6,7,8-Tetrahydrofolate;NADP+
SABIO-RK	4.3.3.7	124.0		1/s	L-Aspartate 4-semialdehyde;Pyruvate	Escherichia coli	P63944 P0A6L2 P63943	DHDPS	uniprot:0.33+metabolites:0.67=1.00	MNXM23;MNXM361	MNXM807	8.0	30.0	[ 100 mM HEPES,  100 mM HEPES]	[unknown, unknown, unknown, unknown, unknown]	304	2256	R02292		15194235.0	kcat	kcat		-	H2O;L-2,3-Dihydrodipicolinate
SABIO-RK	1.14.11.17	12.5		1/s	2-Oxoglutarate;Taurine;O2	Escherichia coli	P37610	TAUDO	ec:1.00+uniprot:1.00+metabolites:0.42=2.42	MNXM1368744;MNXM282	MNXM13;MNXM2212;MNXM25	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1038	4928	R05320		15751960.0	k_cat	kcat		5E-1	Succinate;Sulfite;Aminoacetaldehyde;CO2
SABIO-RK	1.14.11.17	10.4		1/s	Taurine;O2;2-Oxoglutarate	Escherichia coli	P37610	TAUDO	ec:1.00+uniprot:1.00+metabolites:0.42=2.42	MNXM1368744;MNXM282	MNXM13;MNXM2212;MNXM25	6.9	30.0	[ 10 mM imidazole,  10 mM imidazole]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1050	4928	R05320		15751960.0	k_cat	kcat		-	Aminoacetaldehyde;CO2;Sulfite;Succinate
SABIO-RK	1.14.11.17	2.1		1/s	2-Oxoglutarate;O2;Pentanesulfonic acid	Escherichia coli	P37610	TAUDO	ec:1.00+uniprot:1.00+metabolites:0.20=2.20	MNXM1368744	MNXM13;MNXM25	6.9	30.0	[ 10 mM imidazole,  10 mM imidazole]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1052	6541			15751960.0	k_cat	kcat		6E-1	Sulfite;Succinate;CO2;Pentanal
SABIO-RK	1.14.11.17	3.5		1/s	Pentanesulfonic acid;2-Oxoglutarate;O2	Escherichia coli	P37610	TAUDO	ec:1.00+uniprot:1.00+metabolites:0.20=2.20	MNXM1368744	MNXM13;MNXM25	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1055	6541			15751960.0	k_cat	kcat		-	Succinate;Sulfite;Pentanal;CO2
SABIO-RK	1.14.11.17	0.95		1/s	O2;2-Oxoglutarate;3-N-Morpholinopropanesulfonic acid	Escherichia coli	P37610	TAUDO	ec:1.00+uniprot:1.00+metabolites:0.20=2.20	MNXM1368744	MNXM13;MNXM25	6.9	30.0	[ 10 mM imidazole,  10 mM imidazole]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1058	6485			15751960.0	k_cat	kcat		3E-2	CO2;3-N-Morpholinopropanal;Sulfite;Succinate
SABIO-RK	1.14.11.17	1.7		1/s	O2;2-Oxoglutarate;3-N-Morpholinopropanesulfonic acid	Escherichia coli	P37610	TAUDO	ec:1.00+uniprot:1.00+metabolites:0.20=2.20	MNXM1368744	MNXM13;MNXM25	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1061	6485			15751960.0	k_cat	kcat		7E-1	3-N-Morpholinopropanal;Succinate;CO2;Sulfite
SABIO-RK	1.14.11.17	1.83		1/s	3-N-Morpholinopropanesulfonic acid;2-Oxoglutarate;O2	Escherichia coli	P37610	TAUDO	ec:1.00+uniprot:1.00+metabolites:0.20=2.20	MNXM1368744	MNXM13;MNXM25	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1062	6485			15751960.0	k_cat	kcat		6.3E-1	CO2;Sulfite;3-N-Morpholinopropanal;Succinate
SABIO-RK	1.14.11.17	1.67		1/s	3-N-Morpholinopropanesulfonic acid;2-Oxoglutarate;O2	Escherichia coli	P37610	TAUDO	ec:1.00+uniprot:1.00+metabolites:0.20=2.20	MNXM1368744	MNXM13;MNXM25	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1063	6485			15751960.0	k_cat	kcat		2.2E-1	CO2;Succinate;3-N-Morpholinopropanal;Sulfite
SABIO-RK	3.4.11.18	39.0		1/s	H2O;Met-Gly-Met-Met	Escherichia coli	P0AE18	HCYSMT2	metabolites:0.25=0.25		MNXM738804	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	1754	6747			12755633.0	kcat	kcat		-	L-Methionine;Gly-Met-Met
SABIO-RK	3.4.11.18	28.0		1/s	H2O;Met-Gly-Met-Met	Escherichia coli	P0AE18	HCYSMT2	metabolites:0.25=0.25		MNXM738804	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	1756	6747			12755633.0	kcat	kcat		-	L-Methionine;Gly-Met-Met
SABIO-RK	3.4.11.18	0.59		1/s	H2O;Met-Pro-p-nitroanilide	Escherichia coli	P0AE18	HCYSMT2	metabolites:0.25=0.25		MNXM738804	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	1758	6748			12755633.0	kcat	kcat		-	Prolyl-p-nitroanilide;L-Methionine
SABIO-RK	3.4.11.18	1.4		1/s	Met-Pro-p-nitroanilide;H2O	Escherichia coli	P0AE18	HCYSMT2	metabolites:0.25=0.25		MNXM738804	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	1760	6748			12755633.0	kcat	kcat		-	Prolyl-p-nitroanilide;L-Methionine
SABIO-RK	3.4.11.18	83.33333		1/s	H2O;Met-Gly-Met-Met	Escherichia coli	P0AE18	HCYSMT2	metabolites:0.25=0.25		MNXM738804	5.5	30.0	[ 30 mM MES (pH 5.5-6.0) / PIPES (pH 6.5-6.75) / HEPES (pH 7.0-8.0) / EPPS (pH 8.0-8.5), 150 mM KCl,  30 mM MES (pH 5.5-6.0) / PIPES (pH 6.5-6.75) / HEPES (pH 7.0-8.0) / EPPS (pH 8.0-8.5), 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1762	6747			12755633.0	kcat_max	kcat		1.666667E1	Gly-Met-Met;L-Methionine
SABIO-RK	6.1.1.21	130.0		1/s	L-Histidine;ATP;tRNA(His)	Escherichia coli	P60906 P60908 P60907	HISTRS	ec:1.00+uniprot:0.33+metabolites:0.33=1.67	MNXM1107769;MNXM3;MNXM90878	MNXM11;MNXM728294;MNXM741218;MNXM741220	7.5	37.0	[ 10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2,  10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	1868	410	R03655	R-HSA-380234;R-HSA-379844	15751955.0	kcat1	kcat		5E0	L-Histidyl-tRNA(His);Diphosphate;AMP
