Time	4gluc8ace_1	4gluc8ace_2	4gluc8ace_3	4gluc8ace_4	4gluc8ace_5	4gluc8ace_6	8gluc4ace_1	8gluc4ace_2	8gluc4ace_3	8gluc4ace_4	8gluc4ace_5	8gluc4ace_6	Nosub_1	Nosub_2	Nosub_3	Nosub_4	Nosub_5	Nosub_6
0.5	0.115	0.101	0.107	0.104	0.104	0.108	0.109	0.103	0.108	0.106	0.102	0.102	0.107	0.101	0.102	0.101	0.104	0.101
1	0.112	0.099	0.105	0.102	0.102	0.107	0.108	0.102	0.108	0.104	0.101	0.1	0.105	0.099	0.1	0.099	0.102	0.099
1.5	0.111	0.098	0.104	0.1	0.1	0.105	0.106	0.1	0.105	0.103	0.099	0.099	0.104	0.097	0.099	0.098	0.1	0.097
2	0.11	0.097	0.103	0.099	0.099	0.104	0.105	0.1	0.104	0.103	0.098	0.098	0.103	0.097	0.097	0.097	0.099	0.096
2.5	0.11	0.096	0.102	0.099	0.099	0.104	0.105	0.101	0.103	0.102	0.097	0.098	0.102	0.096	0.097	0.096	0.098	0.095
3	0.11	0.096	0.102	0.099	0.099	0.104	0.105	0.099	0.102	0.101	0.097	0.096	0.102	0.095	0.096	0.095	0.097	0.095
3.5	0.11	0.097	0.102	0.099	0.1	0.104	0.105	0.099	0.103	0.103	0.097	0.096	0.101	0.095	0.095	0.094	0.097	0.094
4	0.11	0.097	0.102	0.099	0.102	0.105	0.106	0.1	0.103	0.102	0.098	0.096	0.1	0.094	0.095	0.095	0.096	0.094
4.5	0.111	0.098	0.105	0.101	0.103	0.106	0.107	0.098	0.104	0.103	0.096	0.096	0.1	0.094	0.095	0.094	0.095	0.094
5	0.11	0.102	0.104	0.1	0.1	0.105	0.123	0.11	0.104	0.103	0.097	0.096	0.1	0.093	0.094	0.093	0.095	0.093
5.5	0.11	0.113	0.108	0.105	0.099	0.103	0.133	0.125	0.122	0.118	0.1	0.097	0.1	0.093	0.094	0.093	0.095	0.092
6	0.106	0.121	0.123	0.113	0.102	0.104	0.136	0.124	0.13	0.118	0.102	0.1	0.099	0.093	0.094	0.093	0.094	0.092
6.5	0.108	0.117	0.118	0.109	0.107	0.104	0.133	0.126	0.13	0.113	0.102	0.101	0.099	0.092	0.093	0.093	0.094	0.092
7	0.112	0.116	0.118	0.108	0.105	0.106	0.134	0.129	0.127	0.117	0.107	0.107	0.099	0.092	0.093	0.092	0.094	0.092
7.5	0.113	0.117	0.118	0.11	0.103	0.109	0.131	0.127	0.127	0.121	0.108	0.105	0.098	0.092	0.093	0.092	0.093	0.092
8	0.118	0.119	0.121	0.11	0.108	0.113	0.138	0.134	0.134	0.126	0.114	0.113	0.098	0.091	0.092	0.092	0.093	0.091
8.5	0.121	0.117	0.12	0.11	0.108	0.115	0.145	0.141	0.141	0.134	0.124	0.119	0.098	0.091	0.092	0.092	0.093	0.091
9	0.124	0.123	0.124	0.113	0.111	0.119	0.152	0.151	0.15	0.143	0.134	0.128	0.098	0.091	0.092	0.092	0.093	0.091
9.5	0.129	0.128	0.129	0.118	0.115	0.123	0.162	0.159	0.158	0.153	0.141	0.139	0.098	0.091	0.092	0.091	0.093	0.091
10	0.133	0.134	0.135	0.123	0.12	0.127	0.171	0.169	0.171	0.162	0.15	0.146	0.098	0.092	0.092	0.092	0.093	0.091
10.5	0.136	0.14	0.141	0.129	0.125	0.133	0.182	0.181	0.178	0.173	0.16	0.156	0.098	0.091	0.091	0.091	0.093	0.09
11	0.142	0.146	0.147	0.135	0.132	0.14	0.185	0.181	0.187	0.183	0.172	0.165	0.098	0.091	0.091	0.091	0.092	0.09
11.5	0.147	0.153	0.154	0.142	0.139	0.147	0.185	0.181	0.187	0.185	0.181	0.176	0.098	0.09	0.091	0.091	0.092	0.09
12	0.153	0.161	0.162	0.147	0.146	0.153	0.188	0.184	0.189	0.187	0.18	0.18	0.099	0.09	0.091	0.091	0.092	0.09
12.5	0.16	0.171	0.17	0.155	0.152	0.16	0.194	0.187	0.192	0.189	0.182	0.18	0.098	0.09	0.09	0.09	0.092	0.09
13	0.168	0.181	0.179	0.162	0.16	0.167	0.197	0.193	0.196	0.193	0.184	0.183	0.099	0.09	0.09	0.09	0.092	0.089
13.5	0.175	0.193	0.19	0.171	0.168	0.176	0.203	0.2	0.202	0.199	0.19	0.186	0.097	0.091	0.09	0.091	0.092	0.089
14	0.183	0.206	0.203	0.182	0.178	0.186	0.21	0.209	0.21	0.205	0.195	0.191	0.098	0.09	0.09	0.09	0.092	0.089
14.5	0.195	0.223	0.218	0.195	0.189	0.199	0.22	0.221	0.222	0.213	0.202	0.197	0.098	0.089	0.09	0.09	0.092	0.089
15	0.208	0.242	0.234	0.208	0.202	0.213	0.231	0.231	0.231	0.225	0.213	0.204	0.098	0.089	0.09	0.09	0.092	0.089
15.5	0.222	0.241	0.248	0.224	0.217	0.228	0.243	0.244	0.243	0.237	0.221	0.213	0.098	0.089	0.09	0.089	0.092	0.089
