Time (hours)	4gluc_8ace_1	4gluc_8ace_2	4gluc_8ace_3	8gluc_4ace_1	8gluc_4ace_2	8gluc_4ace_3	No_C_blank
0	0	0	0	0	0	0	0
0.47055	-0.414279577	-0.415100808	-0.473980761	0.180130778	-0.383839422	-0.437866736	0
0.9411	-0.818828003	-0.630476328	-0.735472487	0.382333273	-0.273816866	-0.93974584	0
1.41165	-0.529090266	-0.611594286	-0.684931098	0.848771212	0.013529216	-0.859324861	0
1.8822	-0.432095541	-0.478899675	-0.476201901	1.667326859	0.24807528	-0.959871675	0
2.35275	-0.265443039	0.160341433	-0.045010503	2.204134317	0.636985127	-1.075497258	0
2.8233	0.912260632	1.064635964	0.930728481	3.381907483	1.489093538	-0.738475103	0
3.29385	2.045343065	1.897516367	2.627437542	4.441693183	2.259636512	-0.492307416	0
3.7644	3.875773024	3.596115326	4.338548889	6.701058866	3.966948796	1.091147513	0
4.23495	5.206719096	4.770885535	5.35460399	8.442216553	5.570058211	2.100859313	0
4.7055	6.463866641	6.240141924	6.773274646	10.2325455	7.440812454	2.926441005	0
5.17605	8.141770585	7.731721966	8.471664914	12.36035712	9.345548432	4.017755043	0
5.6466	11.64076724	9.658736575	10.59613956	14.88514484	11.90293152	5.52783936	0
6.11715	13.96842938	11.95476426	13.12242243	18.28383236	14.65634185	7.651949418	0
6.5877	17.06783785	14.62115873	16.05898593	21.84787473	17.80985827	9.998109033	0
7.05825	20.36981212	17.72391542	18.99147415	25.59856444	21.8317254	12.88544063	0
7.5288	23.4864674	20.81421159	22.46882391	29.87530415	25.81095324	15.83263208	0
7.99935	27.67355841	24.695743	26.73988486	34.86234926	31.00624086	20.12773583	0
8.4699	31.767941	28.68237782	31.23824522	40.10635263	36.26578775	23.79586189	0
8.94045	36.58240973	33.21767708	36.35352071	46.39851638	41.9385897	28.26256288	0
9.411	41.8498021	38.426523	42.1666172	53.58243213	48.68986902	33.17828406	0
9.88155	47.59593621	43.91635791	48.19308243	61.54867486	56.08817175	38.36752853	0
10.3521	53.93356766	50.00492249	55.11639667	70.39159765	64.36936201	44.48503815	0
10.82265	61.01365792	57.01342952	63.07830557	80.57255637	74.41741431	51.90873075	0
11.2932	69.16576513	64.68917808	72.13726935	91.95583676	85.02761419	60.27752848	0
11.76375	77.78010416	72.92221161	81.72239514	103.532323	96.06192007	69.29237871	0
12.2343	87.4974923	82.05181201	92.76342886	114.8464433	107.5088482	78.44812674	0
12.70485	97.95598765	92.42918053	105.1664777	125.2189711	118.2355464	87.8142094	0
13.1754	110.2889339	104.0422292	118.4234129	136.1304544	128.5577296	97.97742355	0
13.64595	122.8587073	116.4333846	133.4106345	146.5534345	138.6707408	107.4360954	0
14.1165	137.3501082	130.3257013	150.4520036	157.2913132	149.2697003	117.4483531	0
14.58705	153.2151292	145.6766639	169.3320236	168.1533545	159.7149503	126.8416819	0
15.0576	171.3009729	163.1127556	190.693711	179.4297149	170.5586554	136.6720101	0
15.52815	191.0843583	182.0207302	214.0579947	190.9683597	181.1668923	146.2955827	0
15.9987	211.437371	203.1223611	236.8479371	203.1584087	192.5824247	155.8378135	0
16.46925	230.8796389	223.0846388	256.9624707	215.2357807	204.3473901	164.8741048	0
16.9398	250.7812746	243.5349006	277.4331431	229.5521766	218.2702562	174.6224822	0
17.41035	269.7255009	262.5119336	296.943314	243.4266824	232.3406346	184.5581544	0
17.8809	287.8066997	281.042538	316.1341524	257.8719584	247.1965417	194.555867	0
18.35145	305.7354866	299.7484011	334.9574358	273.6282303	263.2723845	205.5841398	0
18.822	323.9666627	318.4332612	354.6982225	291.0900703	280.6967785	217.2673563	0
19.29255	342.6308399	337.4631983	372.3567122	309.617096	299.5826429	229.6919292	0
19.7631	359.3091379	356.5646951	388.5898078	330.1099473	319.5624164	243.0087701	0
20.23365	374.7779687	373.4668131	402.8046572	349.0391978	338.3679717	256.5882852	0
20.7042	389.2773101	389.7882869	416.7251047	367.0130626	356.3537193	271.737843	0
21.17475	403.0805327	403.5574509	427.7242768	382.9124496	372.2006966	286.9256053	0
21.6453	415.8257732	415.9664154	438.1422604	397.6130979	387.8641602	303.2076455	0
22.11585	427.798631	427.9109467	448.186394	411.870641	402.6840744	321.7111328	0
22.5864	438.1430273	438.3795872	456.6753954	424.5094585	415.5477711	339.7158894	0
23.05695	447.936823	448.3347338	464.8805645	436.090789	427.2253697	356.1435631	0
23.5275	456.7019519	457.4667344	471.8848829	446.8098783	437.8388883	370.1929224	0
23.99805	465.2682748	465.9635999	479.1522745	456.7235895	447.7942562	383.6885916	0
24.4686	472.9070744	473.4996563	485.531768	465.6033183	455.8865582	395.8974982	0
24.93915	480.0362929	480.6203477	491.7079169	473.9077351	464.6992819	406.8224594	0
