Time (hours)	4gluc_8ace_1	4gluc_8ace_2	4gluc_8ace_3	8gluc_4ace_1	8gluc_4ace_2	8gluc_4ace_3	No_C_blank
0	0.00643607	0.00331465	0.011088	0.0320569	0.0590551	0.0519158	0.071549
0.47055	0.068367	0.0692045	0.0647136	0.0746374	0.0642244	0.0712557	0.0814338
0.9411	0.0780711	0.084766	0.0800186	0.0833699	0.0866006	0.07916	0.0909315
1.41165	0.0998938	0.0929779	0.0901532	0.0911758	0.0925456	0.0986257	0.0920681
1.8822	0.098028	0.100342	0.0985065	0.10364	0.0946833	0.0970305	0.0959823
2.35275	0.0975554	0.113051	0.102474	0.0941482	0.0965861	0.0938728	0.0934106
2.8233	0.117414	0.110642	0.108259	0.101801	0.0998565	0.0972564	0.0830392
3.29385	0.124609	0.117119	0.137431	0.106143	0.105506	0.103382	0.0916401
3.7644	0.117211	0.11471	0.110456	0.112709	0.105264	0.11568	0.0632042
4.23495	0.112918	0.109628	0.100618	0.108503	0.112208	0.108828	0.0738946
4.7055	0.112701	0.120525	0.114209	0.111493	0.121443	0.105136	0.0758951
5.17605	0.120452	0.116347	0.117656	0.116061	0.11794	0.108432	0.0710611
5.6466	0.17241	0.127134	0.127738	0.124303	0.133819	0.119127	0.0687131
6.11715	0.131526	0.13223	0.133579	0.141715	0.133704	0.132118	0.0626926
6.5877	0.152038	0.140885	0.143042	0.143827	0.14245	0.136463	0.0601773
7.05825	0.157494	0.153467	0.142358	0.148146	0.165908	0.152838	0.0595898
7.5288	0.156165	0.157339	0.16222	0.165379	0.168619	0.159135	0.0638223
7.99935	0.170493	0.16342	0.168128	0.168494	0.185927	0.182934	0.0460852
8.4699	0.174855	0.173808	0.181638	0.181313	0.194309	0.170756	0.0532741
8.94045	0.191774	0.185766	0.195092	0.204461	0.201515	0.191037	0.0486875
9.411	0.206478	0.207315	0.216477	0.228551	0.232435	0.206399	0.0499009
9.88155	0.221796	0.216857	0.223676	0.249678	0.251287	0.216088	0.0509573
10.3521	0.240245	0.235757	0.250452	0.273044	0.276444	0.246088	0.0517815
10.82265	0.260116	0.261236	0.278343	0.305665	0.323177	0.28471	0.0495003
11.2932	0.287883	0.277135	0.306054	0.333107	0.334829	0.309967	0.0452741
11.76375	0.302456	0.294761	0.322069	0.338789	0.347286	0.331084	0.0460754
12.2343	0.332323	0.318772	0.361318	0.329395	0.355895	0.332333	0.0430346
12.70485	0.349556	0.351516	0.396054	0.300847	0.331486	0.333819	0.0381326
