#
#  rpom246200cyc 24.0 Pathways link table generated on Mon Apr 20, 2020
#
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
PWY-5964	guanylyl molybdenum cofactor biosynthesis	MGD biosynthesis	molybdopterin guanine dinucleotide biosynthesis
PWY-6481	L-dopachrome biosynthesis	melanin biosynthesis (proximal phase)
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria)	(<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis	bisMGD biosynthesis	bis-MPT guanine dinucleotide cofactor biosynthesis
PWY-7747	diphenyl ethers degradation	
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	
PWY0-1479	tRNA processing	
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	
PWY-6228	3-chlorobenzoate degradation III (via gentisate)	
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic)	DMB biosynthesis I
THRESYN-PWY	superpathway of L-threonine biosynthesis	
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	ED pathway
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
PWY-6638	sulfolactate degradation III	
PWY0-1021	L-alanine biosynthesis III	
PWY-7194	pyrimidine nucleobases salvage II	cytosine salvage
GLUTAMINEFUM-PWY	L-glutamine degradation II	
PWY-7387	hypotaurine degradation	
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	vitamin K<sub>2</sub> biosynthesis I	menaquinone-8 biosynthesis
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
PWY1-3	polyhydroxybutanoate biosynthesis	PHB biosynthesis	polyhydroxybutyrate biosynthesis
SAM-PWY	S-adenosyl-L-methionine biosynthesis	S-adenosylmethionine biosynthesis
PWY-7179	purine deoxyribonucleosides degradation I	
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	vitamin B<sub>1</sub> biosynthesis	thiamin diphosphate biosynthesis I (E. coli)
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	
PWY-7801	N-end rule pathway I (prokaryotic)	
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
PWY-6430	thymine degradation	uracil degradation (reductive)
PWY-5028	L-histidine degradation II	
PWY-6157	autoinducer AI-1 biosynthesis	
PWY-6124	inosine-5'-phosphate biosynthesis II	IMP biosynthesis II
PHESYN	L-phenylalanine biosynthesis I	
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	
P344-PWY	superpathway of acrylonitrile degradation	
PWY-6938	NADH repair	
P561-PWY	L-proline betaine degradation	stachydrine catabolism	stachydrine degradation	L-proline betaine catabolism
PWY-6182	superpathway of salicylate degradation	
VALSYN-PWY	L-valine biosynthesis	
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
PWY-701	L-methionine degradation II	
PWY-7356	thiamine salvage IV (yeast)	thiamin salvage IV (yeast)
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
PWY-6826	phosphatidylcholine biosynthesis VI	PCS pathway
PWY-6610	adenine salvage	
PWY-1263	taurine degradation I	
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage)	DMSP degradation	dimethylsulfoniopropionate degradation I (cleavage)
PWY-6952	glycerophosphodiester degradation	
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis III (glucokinase)
PWY0-1312	acetate formation from acetyl-CoA I	
PWY-6107	chlorosalicylate degradation	4-chlorosalicylate degradation	5-chlorosalicylate degradation
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	denitrification	nitrate respiration
PWY-6543	4-aminobenzoate biosynthesis	pABA biosynthesis	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	
