#
#  rpom246200cyc 24.0 Reactions link table generated on Mon Apr 20, 2020
#
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
3.4.11.1-RXN	EC-3.4.11.9
RXN-17847	EC-2.3.2.6
DEOXYGUANPHOSPHOR-RXN	EC-2.4.2.1
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
HOMOCYSMET-RXN	EC-2.1.1.14
RXN-12865	EC-1.8.1
AGMATIN-RXN	EC-3.5.3.11
RXN-16393	EC-6.2.1.3
3PGAREARR-RXN	EC-5.4.2.12
RXN-11838	EC-5.4.99.24
RXN-11835	EC-5.4.99.21
IPPISOM-RXN	EC-5.3.3.2
RXN-17155	EC-2.3.1
RXN-10024	EC-2.3.1.184
RXN-10779	
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	EC-3.2.2.9
PGLYCDEHYDROG-RXN	EC-1.1.1.95
RXN-17891	EC-2.3.2.8
RXN-15891	
RXN-14177	EC-2.1.1.163
RXN1G-349	EC-1.1.1.100
3.4.11.18-RXN	EC-3.4.11.18
RXN-14883	
TETRAACYLDISACC4KIN-RXN	EC-2.7.1.130
2.7.1.148-RXN	EC-2.7.1.148
THREODEHYD-RXN	EC-1.1.1.103
RXN1G48-14	
RXN0-6998	EC-2.1.1.266
RXN1G48-1	
RXN-18427	EC-1.2.1
RXN-13329	
RXN-17355	
RXN-17957	EC-2.7.8.37
DCDPKIN-RXN	EC-2.7.4.6
6.3.5.6-RXN	EC-6.3.5.6
RXN-8665	EC-1.13.11.11	EC-1.13.11.52
LEUCYLTRANSFERASE-RXN	EC-2.3.2.6
RXN-8631	EC-4.1.2.13
RXN1G-368	EC-2.3.1.41
RXN-12200	EC-3.6.1.5
RXN66-336	EC-2.3.2.2
RXN0-5510	EC-3.6.1
RXN-14056	
RXN-15831	
RXN1G48-3	
RXN-9539	EC-2.3.1.179	EC-2.3.1.41
3.8.1.8-RXN	EC-3.8.1.8
RXN-12710	EC-2.3.1.16
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18
2OXOGLUTDECARB-RXN	EC-1.2.4.2
RXN-11244	EC-4.2.1.17
RXN-14727	EC-3.5.1.4
NQOR-RXN	EC-1.6.5.2
RXNQT-4178	EC-1.1.1.85
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	EC-2.1.1.37
RXN-15346	
RXNN-404	EC-3.5.1.4
RXN-11738	EC-1.1.1
RXN-11217	EC-3.5.2.2
RXN-17114	EC-4.2.1.17
5.5.1.2-RXN	EC-5.5.1.2
RXN-11662	EC-1.1.1.35
3.6.3.16-RXN	EC-3.6.3.16
ARYLFORMAMIDASE-RXN	EC-3.5.1.9
2-METHYLCITRATE-DEHYDRATASE-RXN	EC-4.2.1.79
RXN0-2921	EC-6.3.2.17
KDO-8PPHOSPHAT-RXN	EC-3.1.3.45
3.5.5.7-RXN	EC-3.5.5.7
2.1.1.19-RXN	EC-2.1.1.19
RXN1G48-26	
RXN-9870	EC-1.13.11
RXN-16615	EC-2.3.1.179
RXN-14147	EC-2.6.1.57
ARGINYLTRANSFERASE-RXN	EC-2.3.2.8
SALICYLATE-1-MONOOXYGENASE-RXN	EC-1.14.13.1
RXN-9552	EC-1.1.1.100
TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1
RXN-14126	EC-3.1.3.6
UROGENDECARBOX-RXN	EC-4.1.1.37
RXN-16558	EC-4.2.1.17
ALANINE-DEHYDROGENASE-RXN	EC-1.4.1.1
RIBOFLAVIN-SYN-RXN	EC-2.5.1.9
ACONITATEHYDR-RXN	
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
RXN-11455	EC-3.5.4.32
RXN-12142	
RXN-14223	EC-2.7.1.15
N-ACETYLGLUTPREDUCT-RXN	EC-1.2.1.38
RXN-10815	EC-1.13.11.27
RXN-12130	EC-1.7.2.4
R322-RXN	EC-2.1.1.152
RXN-12704	EC-4.2.1
PROTEIN-TYROSINE-PHOSPHATASE-RXN	EC-3.1.3.48
RXN-16483	EC-3.1.6.13
RXN-9542	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
3.1.26.3-RXN	EC-3.1.26.3
RXN-11351	EC-3.4.16.4
H2PTEROATESYNTH-RXN	EC-2.5.1.15
RXN0-5190	EC-4.2.2
RXN-15378	EC-1.3.5.1
RXN-9225	EC-2.1.1.222
RXN-14386	EC-2.8.1.7
RXN0-901	EC-1.17.1.4
GAMMA-GLUTAMYLTRANSFERASE-RXN	EC-2.3.2.2
RXN-15345	
RXNQT-4174	EC-1.1.1.85
RXN-9532	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
OHACYL-COA-DEHYDROG-RXN	EC-1.1.1.35
RXN0-5507	EC-4.1.2.50
RXN-10705	EC-4.2.1.17
RXN-17061	
RXN-11633	EC-2.1.1.182
TRANS-RXN1G48-12	
RXN-16319	
RXN-17014	EC-2.3.1.51
RXN-11474	EC-2.3.1.179
RXN0-2044	EC-1.1.1.35
RXN-7694	EC-1.1.1.1
RXN66-469	EC-6.2.1.3
CREATINASE-RXN	EC-3.5.3.3
RXN-12539	
RXN-14515	
ASPARTASE-RXN	EC-4.3.1.1
RXN0-6554	EC-1.3.5.2
RXN-17362	EC-3.4.23.36
GSADENYLATION-RXN	EC-2.7.7.42
COBALAMIN5PSYN-RXN	EC-2.7.8.26
RXN-14726	EC-4.2.1.84
MALYL-COA-LYASE-RXN	EC-4.1.3.24
ACYLCOADEHYDROG-RXN	EC-1.3.8
R501-RXN	EC-1.14.13
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
RXN-6601	EC-2.3.2.2
RXN-14997	
RXN-18157	
RXN-15154	EC-2.7.1.202
RXN0-6705	EC-2.3.1.51
RXN-8102	EC-2.1.1.250
RXN-161	EC-1.1.1
IGPSYN-RXN	EC-4.1.1.48
GUANINE-DEAMINASE-RXN	EC-3.5.4.3
DEOXYADENPHOSPHOR-RXN	EC-2.4.2.1
RXN-9384	EC-2.5.1.48
RXN0-7271	EC-1.8.4
MALATE--COA-LIGASE-RXN	EC-6.2.1.9
RXN-8976	EC-2.4.1.227
AIRCARBOXY-RXN	EC-4.1.1.21
RXN-7593	
AMP-NUCLEOSID-RXN	EC-3.2.2.4
RXN0-1401	EC-2.7.4.23
3.6.3.31-RXN	EC-3.6.3.31
RXN-2962	EC-1.1.1.284
RXN-11740	EC-1.14.13.209
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
DIAMINOPIMEPIM-RXN	EC-5.1.1.7
PGPPHOSPHA-RXN	EC-3.1.3.27
2.3.1.157-RXN	EC-2.3.1.157
RXN-7693	EC-1.1.1.1
DGTPTRIPHYDRO-RXN	EC-3.1.5.1
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EC-1.17.4.1
3.5.1.27-RXN	EC-3.5.1.88
PHOSNACMURPENTATRANS-RXN	EC-2.7.8.13
PEPTIDYLPROLYL-ISOMERASE-RXN	EC-5.2.1.8
RXN-7706	EC-1.1.1.1
RXN1G-499	EC-2.3.1.41
RXN1G-1053	EC-1.1.1
ADDALT-RXN	EC-3.5.4.4
GCVMULTI-RXN	
DLACTDEHYDROGNAD-RXN	EC-1.1.1.28
RXN-15815	
RXN-9548	EC-3.1.2.14
RXN-12867	EC-1.8.1
PEPDEPHOS-RXN	EC-2.7.1.40
RXN1G-526	EC-1.3.1.9
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
RXN-14304	EC-2.4.2.28
RXN-13279	EC-1.1.1.36
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
RXN-18032	
RXN-11837	EC-5.4.99.23
TRANS-RXN1G48-20	
RXN-18392	
RXN490-3616	EC-6.1.1
RXN-1961	EC-6.3.4.19
PYRUVATE-CARBOXYLASE-RXN	EC-6.4.1.1
RXN-10026	EC-2.3.1.184
RXNQT-4165	EC-1.1.1.85
RXN-8667	EC-1.11.1.21
3.1.26.5-RXN	EC-3.1.26.5
RXN-7904	EC-6.2.1.3
RXN-12507	
DHHB-METHYLTRANSFER-RXN	EC-2.1.1.64
RXN-8957	EC-1.3.1.85
RXN-14116	EC-1.2.1.88
1.5.5.1-RXN	EC-1.5.5.1
GLUCISOM-RXN	EC-5.3.1.5
RXN-13163	EC-4.2.1.33
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
RXN-9912	EC-1.14.13.1
DTDPKIN-RXN	EC-2.7.4.6
RXN-17729	EC-2.3.1.51
FUCPALDOL-RXN	EC-4.1.2.17
RXN-11481	EC-4.2.1.59
RXN-13615	EC-1.3.8.7
TRANS-RXN1G48-4	
RXN-10061	EC-4.2.1.59
3.4.16.4-RXN	EC-3.4.16.4
RXN-15513	EC-5.4.2.11
HOMOCYSMETB12-RXN	EC-2.1.1.13
RXN0-2584	EC-3.2.2.27
RETINYL-PALMITATE-ESTERASE-RXN	EC-3.1.1.1
THIAMIN-PYROPHOSPHOKINASE-RXN	EC-2.7.6.2
DISULFOGLUCOSAMINE-6-SULFATASE-RXN	EC-3.1.6.11
RXN-11409	
RXN-15149	
RXN-12693	EC-1.1.1.145
2.7.1.156-RXN	EC-2.7.1.156
1.18.1.2-RXN	EC-1.18.1.2
LAUROYLACYLTRAN-RXN	EC-2.3.1.241
FMNREDUCT-RXN	EC-1.5.1.39
2.7.9.3-RXN	EC-2.7.9.3
RXN-18211	
CARBPSYN-RXN	EC-6.3.5.5
RXN-17354	
RXN-11737	EC-2.6.1.1
RXN0-5408	EC-3.1.3.25
CHMS-DEHYDROGENASE-RXN	EC-1.2.1.60
RXN-15583	
RXN-11542	EC-1.13.11.39
RXN-10017	
TETHYDPICSUCC-RXN	EC-2.3.1.117
TRANS-RXN-132	
TRANS-RXN1G48-23	
3.1.11.2-RXN	EC-3.1.11.2
RXN-14531	EC-2.8.4.5
THI-P-KIN-RXN	EC-2.7.4.16
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
RXN-18207	
1.13.11.6-RXN	EC-1.13.11.6
RXN-18092	EC-2.3.2.2
RXN-11361	EC-2.7.7.80
RXN-8172	
LCYSDESULF-RXN	EC-4.4.1.1	EC-4.4.1.28
RXN-3482	
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
RXN-16629	EC-2.3.1.179	EC-2.3.1.41
COBALAMINSYN-RXN	EC-2.7.8.26
UDPKIN-RXN	EC-2.7.4.6
PYRROLINECARBDEHYDROG-RXN	
RXN-12702	EC-6.2.1.42
RXN-14290	
RXN-8342	EC-2.8.1.12
2.3.1.168-RXN	EC-2.3.1.168
RXN-14115	EC-3.1.3.6
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	EC-4.2.1.163
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	EC-3.5.2.9
RXN-17775	EC-1.3.8
RXN-7908	EC-4.2.1.96
PRAISOM-RXN	EC-5.3.1.24
4.2.1.61-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
AIRS-RXN	EC-6.3.3.1
MALEYLACETATE-REDUCTASE-RXN	EC-1.3.1.32
3.4.21.4-RXN	EC-3.4.21.4
RXN-10661	EC-1.3.1.9
RXN-16945	EC-1.13.11.4
RXN0-2145	EC-1.3.1.9
RXN0-4261	
RXN0-7239	EC-6.2.1.3
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
3.1.2.23-RXN	EC-3.1.2.23
PYRNUTRANSHYDROGEN-RXN	EC-1.6.1.2	EC-1.6.1.3
RXN-15348	EC-1.8.4
AMIDASE-RXN	EC-3.5.1.4
