source	sabiork_entry_id	organism	uniprot_id	ec_number	parameter.name	param_type	substrate_from_param	kcat_value	kcat_value_end	parameter.standardDeviation	kcat_unit	substrate	Product	pH	temperature_C	buffer	cellular_location	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id
SABIO-RK	100	Escherichia coli	P0ABQ4	1.5.1.3	k_cat	kcat		6.18		-	1/s	Dihydrofolate;NADPH;H+	5,6,7,8-Tetrahydrofolate;NADP+	7.0	15.0	[ 50 mM Morpholinoethanesulfonic acid, 25 mM tris(hydroxymethyl)aminomethane, 25 mM ethanolamine, 100 mM NaCl, 14 mM 2-mercaptoethanol,  50 mM Morpholinoethanesulfonic acid, 25 mM tris(hydroxymethyl)aminomethane, 25 mM ethanolamine, 100 mM NaCl, 14 mM 2-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	100	R00939	R-DRE-197972;R-SSC-197972;R-MMU-197972;R-XTR-197972;R-CEL-197972;R-HSA-197972;R-SCE-197972;R-BTA-197972;R-CFA-197972;R-TGU-197972;R-DDI-197972;R-GGA-197972;R-SPO-197972;R-DME-197972;R-RNO-197972	15740745
SABIO-RK	304	Escherichia coli	P63944 P0A6L2 P63943	4.3.3.7	kcat	kcat		124.0		-	1/s	L-Aspartate 4-semialdehyde;Pyruvate	H2O;L-2,3-Dihydrodipicolinate	8.0	30.0	[ 100 mM HEPES,  100 mM HEPES]	[unknown, unknown, unknown, unknown, unknown]	2256	R02292		15194235
SABIO-RK	1038	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		12.5		5E-1	1/s	2-Oxoglutarate;Taurine;O2	Succinate;Sulfite;Aminoacetaldehyde;CO2	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4928	R05320		15751960
SABIO-RK	1050	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		10.4		-	1/s	Taurine;O2;2-Oxoglutarate	Aminoacetaldehyde;CO2;Sulfite;Succinate	6.9	30.0	[ 10 mM imidazole,  10 mM imidazole]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4928	R05320		15751960
SABIO-RK	1052	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		2.1		6E-1	1/s	2-Oxoglutarate;O2;Pentanesulfonic acid	Sulfite;Succinate;CO2;Pentanal	6.9	30.0	[ 10 mM imidazole,  10 mM imidazole]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6541			15751960
SABIO-RK	1055	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		3.5		-	1/s	Pentanesulfonic acid;2-Oxoglutarate;O2	Succinate;Sulfite;Pentanal;CO2	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6541			15751960
SABIO-RK	1058	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		0.95		3E-2	1/s	O2;2-Oxoglutarate;3-N-Morpholinopropanesulfonic acid	CO2;3-N-Morpholinopropanal;Sulfite;Succinate	6.9	30.0	[ 10 mM imidazole,  10 mM imidazole]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6485			15751960
SABIO-RK	1061	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		1.7		7E-1	1/s	O2;2-Oxoglutarate;3-N-Morpholinopropanesulfonic acid	3-N-Morpholinopropanal;Succinate;CO2;Sulfite	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6485			15751960
SABIO-RK	1062	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		1.83		6.3E-1	1/s	3-N-Morpholinopropanesulfonic acid;2-Oxoglutarate;O2	CO2;Sulfite;3-N-Morpholinopropanal;Succinate	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6485			15751960
SABIO-RK	1063	Escherichia coli	P37610	1.14.11.17	k_cat	kcat		1.67		2.2E-1	1/s	3-N-Morpholinopropanesulfonic acid;2-Oxoglutarate;O2	CO2;Succinate;3-N-Morpholinopropanal;Sulfite	8.0	30.0	[ 5 mM Tris/HCl,  5 mM Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6485			15751960
SABIO-RK	1754	Escherichia coli	P0AE18	3.4.11.18	kcat	kcat		39.0		-	1/s	H2O;Met-Gly-Met-Met	L-Methionine;Gly-Met-Met	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	6747			12755633
SABIO-RK	1756	Escherichia coli	P0AE18	3.4.11.18	kcat	kcat		28.0		-	1/s	H2O;Met-Gly-Met-Met	L-Methionine;Gly-Met-Met	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	6747			12755633
SABIO-RK	1758	Escherichia coli	P0AE18	3.4.11.18	kcat	kcat		0.59		-	1/s	H2O;Met-Pro-p-nitroanilide	Prolyl-p-nitroanilide;L-Methionine	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	6748			12755633
SABIO-RK	1760	Escherichia coli	P0AE18	3.4.11.18	kcat	kcat		1.4		-	1/s	Met-Pro-p-nitroanilide;H2O	Prolyl-p-nitroanilide;L-Methionine	7.5	30.0	[ 25 mM HEPES, 150 mM KCl,  25 mM HEPES, 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	6748			12755633
SABIO-RK	1762	Escherichia coli	P0AE18	3.4.11.18	kcat_max	kcat		83.33333		1.666667E1	1/s	H2O;Met-Gly-Met-Met	Gly-Met-Met;L-Methionine	5.5	30.0	[ 30 mM MES (pH 5.5-6.0) / PIPES (pH 6.5-6.75) / HEPES (pH 7.0-8.0) / EPPS (pH 8.0-8.5), 150 mM KCl,  30 mM MES (pH 5.5-6.0) / PIPES (pH 6.5-6.75) / HEPES (pH 7.0-8.0) / EPPS (pH 8.0-8.5), 150 mM KCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6747			12755633
SABIO-RK	1868	Escherichia coli	P60906 P60908 P60907	6.1.1.21	kcat1	kcat		130.0		5E0	1/s	L-Histidine;ATP;tRNA(His)	L-Histidyl-tRNA(His);Diphosphate;AMP	7.5	37.0	[ 10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2,  10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	410	R03655	R-HSA-380234;R-HSA-379844	15751955
SABIO-RK	1868	Escherichia coli	P60906 P60908 P60907	6.1.1.21	kcat2	kcat		2.02		-	1/s	L-Histidine;ATP;tRNA(His)	L-Histidyl-tRNA(His);Diphosphate;AMP	7.5	37.0	[ 10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2,  10 mM HEPES, 100 mM KCl, 1 mM DTT, 10 mM MgCl2]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	410	R03655	R-HSA-380234;R-HSA-379844	15751955
SABIO-RK	1973	Escherichia coli	P21888 Q8XCT9 Q8FK44	6.1.1.16	kcat_A	kcat		99.6		7.8E0	1/s	ATP;L-Cysteine;tRNA(Cys)	L-Cysteinyl-tRNA(Cys);Diphosphate;AMP	7.5	22.0	[ 20 mM Tris-HCl, 1 mM DTT,  20 mM Tris-HCl, 1 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	405	R03650	R-HSA-379887;R-HSA-380158	12974627
SABIO-RK	1973	Escherichia coli	P21888 Q8XCT9 Q8FK44	6.1.1.16	kcat_B	kcat		141.9		1.2E0	1/s	ATP;L-Cysteine;tRNA(Cys)	L-Cysteinyl-tRNA(Cys);Diphosphate;AMP	7.5	22.0	[ 20 mM Tris-HCl, 1 mM DTT,  20 mM Tris-HCl, 1 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	405	R03650	R-HSA-379887;R-HSA-380158	12974627
SABIO-RK	1986	Escherichia coli	Q8FK44 Q8XCT9 P21888	6.1.1.16	kcat	kcat		2.46		6E-2	1/s	ATP;L-Cysteine;tRNA(Cys)	AMP;Diphosphate;L-Cysteinyl-tRNA(Cys)	6.0	30.0	[ 25 mM sodium acetate, 10 mM MgCl2, 5 mM DTT,  25 mM sodium acetate, 10 mM MgCl2, 5 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	405	R03650	R-HSA-379887;R-HSA-380158	12974627
SABIO-RK	2037	Escherichia coli	P0A8V0	3.1	kcat	kcat		60.0		6E0	1/s	Bis-4-nitrophenyl phosphate;H2O	4-Nitrophenyl phosphate;p-Nitrophenol	7.4	22.0	[ 50 mM Tris-HCl, 0.1% Triton-X-100,  50 mM Tris-HCl, 0.1% Triton-X-100]	[unknown, unknown, unknown, unknown, unknown]	6769			15301536
SABIO-RK	2435	Escherichia coli	P0A9P4	1.8.1.9	Kcat	kcat		20.83333		1.666667E0	1/s	H+;NADPH;Oxidized thioredoxin	NADP+;Reduced thioredoxin	7.0	25.0	[ 0.1 M sodium phosphate, 2 mM EDTA, 0.1 mg/ml BSA, 0.5 mM 5,5'-dithiobis(2-nitrobenzoic acid),  0.1 M sodium phosphate, 2 mM EDTA, 0.1 mg/ml BSA, 0.5 mM 5,5'-dithiobis(2-nitrobenzoic acid)]	[unknown, unknown, unknown, unknown, unknown, unknown]	489	R02016		14744138
