ID,Component
RXN0-6732,0
RXN-2364,0
CPD-18320[c],0
KDO2-PALMITOLEOYL-LIPID-IVA[c],0
CPD-12175[c],0
S-24-DINITROPHENYLGLUTATHIONE[c],0
OXYGEN-MOLECULE[e],0
OH-HEXANOYL-COA[c],0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN,0
NITROUS-OXIDE[c],0
RXN-11951,0
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE[c],0
RXN-12864,0
URIDINE[c],0
2-METHYLCITRATE-SYNTHASE-RXN,0
RXN-7567,0
CPD0-2018[c],0
N-ACETYL-D-GLUCOSAMINEtpp,0
SULFOACETALDEHYDE[c],0
NI+2[c],0
CPD-17464[c],0
3-HYDROXYADIPYL-COA[c],0
CARNDETRU-RXN,0
SELENATE[c],0
RXN-11403,0
RXN-7800,0
CPD-14926[c],0
RXN-5861,0
SoxY-S-S-Thiocysteine[c],0
RXN-12736,0
STEARIC_ACID[p],0
GLUCONATE-5-DEHYDROGENASE-RXN-GLUCONATE/NADP//5-DEHYDROGLUCONATE/NADPH/PROTON.48.,0
DADP[c],0
F16ALDOLASE-RXN,0
R313-RXN,0
METOH[c],0
CPD-23339[c],0
3-HYDROXY-PROPIONYL-COA[c],0
CPD-18497[c],0
RXN-15121,0
GLYCOLLATE[c],0
NI+2[e],0
CITRAMALATE-LYASE-RXN,0
RIBOSE-1P[c],0
GUANIDINOBUTANAMIDE-NH3-RXN,0
RXN-18796,0
OCTAPRENYL-METHYL-METHOXY-BENZQ[c],0
HYDROQUINONE[c],0
RXN-5881,0
N-SUCCINYLLL-2-6-DIAMINOPIMELATE[c],0
CPD-7032[c],0
HAONITRO-RXN-Cytochromes-C-Oxidized/HYDROXYLAMINE/WATER//Cytochromes-C-Reduced/NITRITE/PROTON.81.,0
HISTCYCLOHYD-RXN,0
RXN-12573,0
RXN-9545,0
RXN-10079,0
QUINOLINATE-SYNTHA-RXN,0
CHD-RXN,0
ALLYSINE[c],0
CPD-14916[c],0
RXN0-6512,0
2.7.7.60-RXN,0
RXN-9653,0
RXN2B4Q-52,0
CPD-11876[c],0
RXN-18203,0
RXN-9520,0
2-HYDROXYPHYTANOYL-COA[c],0
CPD-1136[c],0
RXN-9736,0
CPD-613[c],0
RXN-9740,0
CPD-17988[c],0
CPD-11497[c],0
UDP-MURNAC-TETRAPEPTIDE[c],0
RXN-12746,0
THYMIDINE[c],0
