reaction,flux,ATP_net
ATPSYN-RXN,-34.68470294147262,34.68470294147262
PHOSGLYPHOS-RXN,-4.984694290492791,4.984694290492791
SUCCCOASYN-RXN,-3.709872924450487,3.709872924450487
PEPDEPHOS-RXN,2.4219209501468826,2.4219209501468826
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,-1.2443657481921377,1.2443657481921377
MALATE--COA-LIGASE-RXN,-0.6467812406793406,0.6467812406793406
ADENYL-KIN-RXN,-0.17609031232839237,0.17609031232839237
RXN0-7238,7.224485554657065e-05,-7.224485554657065e-05
THIAMIN-PYROPHOSPHOKINASE-RXN,0.00012623399984813683,-0.00012623399984813683
ABC-32-RXN,0.00012623399984813683,-0.00012623399984813683
FADSYN-RXN,0.00012623399984813683,-0.00012623399984813683
RIBOFLAVINKIN-RXN,0.00012623399984813686,-0.00012623399984813686
4-COUMARATE--COA-LIGASE-RXN,0.0001262339998481369,-0.0001262339998481369
3.6.3.1-RXN-DMPE-C18[c]/ATP/WATER//DMPE-C18[p]/ADP/PROTON/Pi,0.00023190081224698096,-0.00023190081224698096
NAD-KIN-RXN,0.0002530340852597199,-0.0002530340852597199
ACETATE--COA-LIGASE-RXN,0.00032605732731371545,-0.00032605732731371545
PANTOATE-BETA-ALANINE-LIG-RXN,0.000326057327313761,-0.000326057327313761
DEPHOSPHOCOAKIN-RXN,0.00032605732731376104,-0.00032605732731376104
PANTEPADENYLYLTRAN-RXN,0.00032605732731376104,-0.00032605732731376104
PANTOTHENATE-KIN-RXN,0.00032605732731376104,-0.00032605732731376104
H2PTERIDINEPYROPHOSPHOKIN-RXN,0.000378701999544458,-0.000378701999544458
DIHYDROFOLATESYNTH-RXN,0.00037870199954445806,-0.00037870199954445806
UDP-NACMURALGLDAPAALIG-RXN,0.0004145725396313833,-0.0004145725396313833
UDP-NACMURALGLDAPLIG-RXN,0.00041457253963138335,-0.00041457253963138335
UDP-NACMURALA-GLU-LIG-RXN,0.0004145725396313834,-0.0004145725396313834
DALADALALIG-RXN,0.0004145725396313834,-0.0004145725396313834
UDP-NACMUR-ALA-LIG-RXN,0.0004145725396313835,-0.0004145725396313835
3.6.3.1-RXN-PE-C18[c]/ATP/WATER//PE-C18[p]/ADP/PROTON/Pi,0.000866366165490608,-0.000866366165490608
GLURS-RXN,0.0010098719987850946,-0.0010098719987850946
2.7.1.148-RXN,0.0012623399984813693,-0.0012623399984813693
NICONUCADENYLYLTRAN-RXN,0.0012895115127903884,-0.0012895115127903884
NAD-SYNTH-NH3-RXN,0.0012895115127903886,-0.0012895115127903886
3.6.3.1-RXN-MMPE-C18[c]/ATP/WATER//MMPE-C18[p]/ADP/PROTON/Pi,0.0026965879838039743,-0.0026965879838039743
ADENOSINE-KINASE-RXN,0.00720009008532291,-0.00720009008532291
S-ADENMETSYN-RXN,0.007326324085171045,-0.007326324085171045
DTDPKIN-RXN,0.014811834116502226,-0.014811834116502226
DTMPKI-RXN,0.014811834116502226,-0.014811834116502226
DUDPKIN-RXN,0.014811834116502227,-0.014811834116502227
DCDPKIN-RXN,0.015619618526804106,-0.015619618526804106
CDPKIN-RXN,0.018892929838236157,-0.018892929838236157
DNA-RXN,0.02907559198658018,-0.02125727157267748
RXN-11832,0.03451254836504026,-0.03451254836504026
RXN-14325,0.036875416829917594,-0.036875416829917594
ATPPHOSPHORIBOSYLTRANS-RXN,0.044563302815713905,-0.044563302815713905
RNA-RXN,0.05298309694079036,-0.04665970615665754
GMP-SYN-NH3-RXN,0.05017014868951877,-0.05017014868951877
GUANYL-KIN-RXN,0.05017014868951878,-0.05017014868951878
UDPKIN-RXN,0.06064734858879265,-0.06064734858879265
RXN-19960-CPD-9247[c]/ATP[c]/COA[c]//CPD-18346[c]/AMP[c]/PPI[c],0.06577605722294369,-0.06577605722294369
RXN-12002,0.07504461016566348,-0.07504461016566348
SAICARSYN-RXN,0.09468449580690487,-0.09468449580690487
GLYRIBONUCSYN-RXN,0.09468449580690487,-0.09468449580690487
FGAMSYN-RXN,0.09468449580690487,-0.09468449580690487
AIRS-RXN,0.09468449580690487,-0.09468449580690487
RXN0-742,0.09468449580690488,-0.09468449580690488
GLUTKIN-RXN,0.10398088340941783,-0.10398088340941783
ASNSYNB-RXN,0.11338857664858136,-0.11338857664858136
SULFATE-ADENYLYLTRANS-RXN,0.1159205510685089,-0.1159205510685089
ADENYLYLSULFKIN-RXN,0.1159205510685089,-0.1159205510685089
HOMOSERKIN-RXN,0.11933047587033664,-0.11933047587033664
ARGSUCCINSYN-RXN,0.13913602223277738,-0.13913602223277738
ACETYLGLUTKIN-RXN,0.14091245514450276,-0.14091245514450276
SHIKIMATE-KINASE-RXN,0.17925299246343315,-0.17925299246343315
FORMATETHFLIG-RXN,0.23405852842937172,-0.23405852842937172
RXN-22735,0.21376605985880948,-0.42753211971761895
PRPPSYN-RXN,0.4839514269620022,-0.4839514269620022
ASPARTATEKIN-RXN,0.4902408822766073,-0.4902408822766073
GLUTAMINESYN-RXN,0.5050300738433557,-0.5050300738433557
PROPIONYL-COA-CARBOXY-RXN,0.6464025386797961,-0.6464025386797961
ACETYL-COA-CARBOXYLTRANSFER-RXN,0.6518432758594265,-0.6518432758594265
ATPM,3.15,-3.15
GLCtpp,5.439999999999932,-5.439999999999932
GLUCOKIN-RXN,5.439999999999933,-5.439999999999933
PROTEIN-RXN,0.3178617088611951,-10.55186344666848
Rpom_hwa_biomass,0.5660717790992483,-17.75302701214586
