reaction_id,gene_reaction_rule,ec_numbers,assigned_kcat_s,effective_kcat_s,is_default,sources,record_source,record_ec,record_organism,record_enzyme_type,record_kcat_s,record_pubmed,record_uniprot
1.1.1.39-RXN,SPO0012,1.1.1.38; 1.1.1.39,68.605000,68.605000,False,sabio,sabio,1.1.1.38,Homo sapiens,wildtype,6.710000,16757477,P23368
1.1.1.39-RXN,SPO0012,1.1.1.38; 1.1.1.39,68.605000,68.605000,False,sabio,sabio,1.1.1.39,Homo sapiens,wildtype,130.500000,15989682,P23368
1.1.1.8-RXN,SPO3855,1.1.1.8,0.133333,0.133333,False,sabio,sabio,1.1.1.8,Oryctolagus cuniculus,wildtype,0.133333,1170881,P08507
1.10.2.2-RXN,SPO0273 and SPO0272 and SPO0271,,,1000.000000,True,default,,,,,,,
1.13.11.15-RXN,SPOA0026,1.13.11.15,0.400000,0.400000,False,sabio,sabio,1.13.11.15,Brevibacterium fuscum,wildtype,0.400000,15568806,Q45135
1.13.11.6-RXN,SPO1774,1.13.11.6,25.000000,25.000000,False,sabio,sabio,1.13.11.6,Cupriavidus metallidurans,wildtype,25.000000,15909978,Q1LCS4
1.14.11.1-RXN,SPO3380,1.14.11.1,0.830000,0.830000,False,brenda,brenda,1.14.11.1,Homo sapiens,"pH 7.5, temperature not specified in the publication",0.830000,745953,
1.14.11.18-RXN,G1RHL-2947,,,1000.000000,True,default,,,,,,,
1.2.1.2-RXN,(SPO0834 or SPO1556 or SPO1796) and (SPO0833 or SPO1555),1.2.1.2,,1000.000000,True,default,,,,,,,
1.2.1.27-RXN,SPO2203,1.2.1.27,1.100000,1.100000,False,sabio,sabio,1.2.1.27,Bacillus subtilis,wildtype,1.100000,16332250,P42412
1.2.7.8-RXN,SPOA0110 or SPOA0111 or SPO1459,1.2.7.8,,1000.000000,True,default,,,,,,,
1.3.1.2-RXN,SPO1777,1.3.1.2,0.850000,0.850000,False,brenda,brenda,1.3.1.2,Sus scrofa,"wild-type, anaerobic conditions, pH 7.0, 20?C",0.850000,762734,
1.3.1.54-RXN,SPO2868,1.3.1.54,,1000.000000,True,default,,,,,,,
1.5.1.20-RXN,SPO_RS15290,1.5.1.20,11.100000,11.100000,False,sabio,sabio,1.5.1.20,Leishmania major,wildtype,11.100000,17032644,Q4Q0B9
1.5.1.28-RXN,SPO1466,1.5.1.28,,1000.000000,True,default,,,,,,,
1.5.1.7-RXN,G1RHL-406,1.5.1.7,1.100000,1.100000,False,sabio,sabio,1.5.1.7,Saccharomyces cerevisiae,wildtype His-tagged,1.100000,17002315,P38998
1.5.1.8-RXN,SPO3307,,,1000.000000,True,default,,,,,,,
1.5.5.1-RXN-ETF-Reduced/UBIQUINONE-10//ETF-Oxidized/CPD-9958/PROTON.56.,SPO0316,,,1000.000000,True,default,,,,,,,
1.8.4.8-RXN,SPO2635,1.8.4.8,0.421000,0.421000,False,brenda,brenda,1.8.4.8,Bacillus subtilis,"recombinant enzyme, pH 8.0, with substrate 3'-phosphoadenylyl-sulfate",0.421000,659441,
1TRANSKETO-RXN,SPOA0319 or SPO1865,2.2.1.1,46.300000,46.300000,False,sabio,sabio,2.2.1.1,Saccharomyces cerevisiae,wildtype,46.300000,9398292,P23254
2-DEHYDROPANTOATE-REDUCT-RXN,SPO0966 or SPO1601,1.1.1.169,1.600000,1.600000,False,sabio,sabio,1.1.1.169,Escherichia coli,mutant N98A N-terminal His6-tagged,1.600000,17229734,P0A9J4
