G1G48-1482-MONOMER	G1G48-1482	Q5LTG3	oxidoreductase	
G1G48-394-MONOMER	G1G48-394		hypothetical protein	
G1G48-2862-MONOMER	G1G48-2862	Q5LPN6	acetylornithine deacetylase	
G1G48-1572-MONOMER	G1G48-1572	Q5LT74	glycosyl transferase family protein	
CPLX1G48-24			predicted ABC transporter of a sugar	
G1G48-4367-MONOMER	G1G48-4367	Q5LKJ2	MerR family transcriptional regulator	
G1G48-2499-MONOMER	G1G48-2499	Q5LQN2	peptidylprolyl isomerase	
G1G48-2614-MONOMER	G1G48-2614	Q5LQC3	arginyl-tRNA-protein transferase	
G1G48-3086-MONOMER	G1G48-3086	Q5LP16	MBL fold metallo-hydrolase	
G1G48-1816-MONOMER	G1G48-1816	Q5LSI8	TetR family transcriptional regulator	
G1G48-1449-MONOMER	G1G48-1449	Q5LTJ7	disulfide oxidoreductase	
G1G48-450-MONOMER	G1G48-450		sulfurtransferase	
G1G48-3616-MONOMER	G1G48-3616		phosphate acetyltransferase	
G1G48-240-MONOMER	G1G48-240		aldehyde dehydrogenase family protein	
G1G48-199-MONOMER	G1G48-199	Q5LWZ2	flagellar P-ring protein	FlgI
G1G48-2773-MONOMER	G1G48-2773		hypothetical protein	
G1G48-4108-MONOMER	G1G48-4108	Q5LL90	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	
G1G48-3534-MONOMER	G1G48-3534	Q5LMT2	glycolate oxidase iron-sulfur subunit	
G1G48-2174-MONOMER	G1G48-2174	Q5LRJ1	ribonucleotide-diphosphate reductase subunit alpha	
G1G48-940-MONOMER	G1G48-940		methylmalonyl-CoA epimerase	
G1G48-2175-MONOMER	G1G48-2175		hypothetical protein	
G1G48-1161-MONOMER	G1G48-1161		ectoine utilization protein EutC	
G1G48-3573-MONOMER	G1G48-3573	Q5LMP5	cupin	
G1G48-2515-MONOMER	G1G48-2515		hypothetical protein	
G1G48-1215-MONOMER	G1G48-1215	Q5LU62	UDP-N-acetylmuramate--L-alanine ligase	
G1G48-505-MONOMER	G1G48-505	Q5LW45	30S ribosomal protein S14	
G1G48-2841-MONOMER	G1G48-2841	Q5LPQ7	AMP-dependent synthetase	
G1G48-3501-MONOMER	G1G48-3501	Q5LMW3	alkane 1-monooxygenase	
G1G48-2653-MONOMER	G1G48-2653	Q5LQ87	aldehyde dehydrogenase	
G1G48-2116-MONOMER	G1G48-2116	Q5LRP7	penicillin acylase	
G1G48-4315-MONOMER	G1G48-4315	Q5LKP3	LysR family transcriptional regulator	
G1G48-3658-MONOMER	G1G48-3658	Q5LMG2	N-formylglutamate amidohydrolase	
G1G48-3264-MONOMER	G1G48-3264	Q5LNJ0	GlsB/YeaQ/YmgE family stress response membrane protein	
G1G48-887-MONOMER	G1G48-887	V5UZ05	hypothetical protein	
G1G48-181-MONOMER	G1G48-181	Q5LWX5	flagellar basal body rod protein FlgG	
G1G48-3357-MONOMER	G1G48-3357	Q5LNA5	saccharopine dehydrogenase	
G1G48-3163-MONOMER	G1G48-3163	Q5LNU0	tol-pal system-associated acyl-CoA thioesterase	
G1G48-64-MONOMER	G1G48-64	Q5LWL2	transcription termination protein NusA	
G1G48-2149-MONOMER	G1G48-2149	Q5LRL4	transporter	
G1G48-2237-MONOMER	G1G48-2237	Q5LRD1	type I glyceraldehyde-3-phosphate dehydrogenase	
G1G48-38-MONOMER	G1G48-38	Q5LWI2	3-deoxy-manno-octulosonate cytidylyltransferase	
G1G48-3062-MONOMER	G1G48-3062	Q5LP39	NADP-dependent oxidoreductase	
G1G48-1118-MONOMER	G1G48-1118	Q5LUF6	hypothetical protein	
G1G48-4037-MONOMER	G1G48-4037	Q5LLE7	DNA gyrase inhibitor YacG	
G1G48-1157-MONOMER	G1G48-1157	Q5LUB7	NAD-dependent succinate-semialdehyde dehydrogenase	
G1G48-2350-MONOMER	G1G48-2350	Q5LR18	thiol:disulfide interchange protein	
G1G48-3239-MONOMER	G1G48-3239	Q5LNL4	hypothetical protein	
G1G48-2997-MONOMER	G1G48-2997	Q5LP99	hypothetical protein	
G1G48-687-MONOMER	G1G48-687	Q5LVM3	acyl-CoA synthetase	
G1G48-771-MONOMER	G1G48-771	Q5LVE1	cyclase	
G1G48-348-MONOMER	G1G48-348	Q5LXC9	hypothetical protein	
G1G48-1011-MONOMER	G1G48-1011	Q5LUQ1	AraC family transcriptional regulator	
G1G48-2863-MONOMER	G1G48-2863	Q5LPN5	ABC transporter ATP-binding protein	
G1G48-2158-MONOMER	G1G48-2158	Q5LRK7	amidinotransferase	
G1G48-3281-MONOMER	G1G48-3281	Q5LNH4	GntR family transcriptional regulator	
G1G48-2510-MONOMER	G1G48-2510		agmatinase	
G1G48-3982-MONOMER	G1G48-3982	Q5LLJ3	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	
G1G48-4091-MONOMER	G1G48-4091	Q5LLA6	transporter	
G1G48-1475-MONOMER	G1G48-1475	Q5LTH0	glycosyl transferase family 2	
G1G48-3542-MONOMER	G1G48-3542	Q5LMS4	murein transglycosylase	
G1G48-3109-MONOMER	G1G48-3109	Q5LNZ2	S-methyl-5'-thioadenosine phosphorylase	
G1G48-3160-MONOMER	G1G48-3160	Q5LNU3	biopolymer transporter TonB	
G1G48-680-MONOMER	G1G48-680		error-prone DNA polymerase	
G1G48-2184-MONOMER	G1G48-2184	Q5LRI2	anthranilate synthase component I	
G1G48-2288-MONOMER	G1G48-2288	Q5LR79	hypothetical protein	
G1G48-2045-MONOMER	G1G48-2045		spermidine/putrescine ABC transporter substrate-binding protein	
G1G48-1227-MONOMER	G1G48-1227	Q5LU52	outer membrane protein assembly factor BamD	
G1G48-1642-MONOMER	G1G48-1642	Q5LT04	helix-turn-helix transcriptional regulator	
G1G48-3993-MONOMER	G1G48-3993		thiamine biosynthesis protein ApbE	
G1G48-3738-MONOMER	G1G48-3738	Q5LM82	(2Fe-2S)-binding protein	
G1G48-2476-MONOMER	G1G48-2476	Q5LQQ5	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-360-MONOMER	G1G48-360	Q5LXD7	membrane protein	
G1G48-1540-MONOMER	G1G48-1540	Q5LTA5	cytochrome c	
G1G48-2227-MONOMER	G1G48-2227	Q5LRE1	ArsR family transcriptional regulator	
G1G48-2498-MONOMER	G1G48-2498		organic solvent tolerance protein	
G1G48-210-MONOMER	G1G48-210	Q5LWZ8	LysR family transcriptional regulator	
G1G48-1990-MONOMER	G1G48-1990	Q5LS18	phosphate transport system regulatory protein PhoU	
G1G48-3090-MONOMER	G1G48-3090	Q5LP12	ABC transporter substrate-binding protein	
G1G48-3783-MONOMER	G1G48-3783	Q5LM40	nitrogen regulatory protein P-II 1	
G1G48-3045-MONOMER	G1G48-3045	Q5LP54	ABC transporter permease	
G1G48-1711-MONOMER	G1G48-1711	Q5LST5	DNA helicase RecG	
G1G48-1136-MONOMER	G1G48-1136		hypothetical protein	
G1G48-3249-MONOMER	G1G48-3249	Q5LNK4	S26 family signal peptidase	
G1G48-2688-MONOMER	G1G48-2688	Q5LQ53	hypothetical protein	
G1G48-2571-MONOMER	G1G48-2571	Q5LQG2	AMP-binding protein	
G1G48-1660-MONOMER	G1G48-1660	Q5LSY6	glycine cleavage system protein T	
G1G48-2881-MONOMER	G1G48-2881	Q5LPL7	ABC transporter ATP-binding protein	
G1G48-584-MONOMER	G1G48-584	Q5LVW8	terpene utilization protein AtuA	
G1G48-3369-MONOMER	G1G48-3369	Q5LN94	hypothetical protein	
G1G48-1073-MONOMER	G1G48-1073	Q5LUK0	hypothetical protein	
G1G48-2482-MONOMER	G1G48-2482	Q5LQP9	GntR family transcriptional regulator	
G1G48-626-MONOMER	G1G48-626	Q5LVS8	AraC family transcriptional regulator	
G1G48-2217-MONOMER	G1G48-2217	Q5LRF1	hypothetical protein	
G1G48-4257-MONOMER	G1G48-4257	Q5LKU4	carnitinyl-CoA dehydratase	
G1G48-3114-MONOMER	G1G48-3114	Q5LNY9	hypothetical protein	
G1G48-1907-MONOMER	G1G48-1907		mechanosensitive ion channel protein MscS	
G1G48-2605-MONOMER	G1G48-2605	Q5LQD1	HPr kinase	
G1G48-3367-MONOMER	G1G48-3367		hypothetical protein	
G1G48-2109-MONOMER	G1G48-2109	Q5LRQ4	MFS transporter	
G1G48-4129-MONOMER	G1G48-4129	Q5LL69	L-cysteate sulfo-lyase	
G1G48-2251-MONOMER	G1G48-2251	Q5LRB6	3-hydroxyisobutyrate dehydrogenase	
G1G48-2084-MONOMER	G1G48-2084	Q5LRS9	glucose-6-phosphate isomerase	
G1G48-3528-MONOMER	G1G48-3528	Q5LMT8	polyamine ABC transporter substrate-binding protein	
G1G48-1272-MONOMER	G1G48-1272	Q5LU13	aminomethyltransferase	
G1G48-3527-MONOMER	G1G48-3527	Q5LMT9	spermidine/putrescine ABC transporter substrate-binding protein	
G1G48-1937-MONOMER	G1G48-1937	Q5LS67	TetR family transcriptional regulator	
G1G48-2099-MONOMER	G1G48-2099	Q5LRR4	pseudouridine-5'-phosphate glycosidase	
G1G48-672-MONOMER	G1G48-672	Q5LVN8	ABC transporter permease	
G1G48-1317-MONOMER	G1G48-1317	Q5LTX1	alpha/beta hydrolase	
G1G48-2021-MONOMER	G1G48-2021	Q5LRY6	gamma-glutamyl-phosphate reductase	
G1G48-1389-MONOMER	G1G48-1389	Q5LTQ4	pyruvate, phosphate dikinase	
G1G48-4316-MONOMER	G1G48-4316	Q5LKP2	haloacid dehalogenase	
G1G48-1507-MONOMER	G1G48-1507	Q5LTD8	3-isopropylmalate dehydratase large subunit	
G1G48-769-MONOMER	G1G48-769		hypothetical protein	
G1G48-2756-MONOMER	G1G48-2756	Q5LPY6	3-oxoadipate enol-lactonase	
G1G48-2919-MONOMER	G1G48-2919	Q5LPH8	precorrin methylase	
G1G48-2649-MONOMER	G1G48-2649	Q5LQ91	C4-dicarboxylate ABC transporter	
G1G48-3013-MONOMER	G1G48-3013	Q5LP83	50S ribosomal protein L33	
G1G48-3973-MONOMER	G1G48-3973	Q5LLK7	3-phosphoshikimate 1-carboxyvinyltransferase	
G1G48-1666-MONOMER	G1G48-1666	Q5LSY0	shikimate kinase	
