Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Reactions of gene
G7845	b4180	4409275	4410006	G7845-MONOMER	RXN-11588
EG10330	b4154	4380510	4382318	FUM-FLAVO	R601-RXN
G7047	b1954	2025223	2025313	DSRA-RNA	
G0-10444	b4521	1223564	1223907	MONOMER0-2666	
G0-10705		4058171	4058242		
EG12866	b1831	1914836	1915534	EG12866-MONOMER	
EG10036	b1300	1362743	1364230	ALDHDEHYDROG-MONOMER	RXN-10715 // AMINOBUTDEHYDROG-RXN // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN0-5455 // RXN0-3922
EG12587	b4356	4593361	4594722	YJIZ-MONOMER	TRANS-RXN0-227
EG10193	b2421	2538672	2539583	ACSERLYB-MONOMER	ACSERLY-RXN // SULFOCYS-RXN // LCYSDESULF-RXN // RXN-15129
EG10503	b3773	3956927	3957820	PD00200	
EG10996	b0406	426137	427264	EG10996-MONOMER	RXN0-1321
G7486	b2867	3002614	3003492	G7486-MONOMER	RXN0-901 // RXN-7682
G6655	b1317	1380148	1380807	G6655-MONOMER	BETA-PHOSPHOGLUCOMUTASE-RXN // RXN-16995 // RXN-16996
G6658	b1320	1382963	1383961	G6658-MONOMER	
EG11406	b1662	1742601	1743242	RIBOFLAVIN-SYN-MONOMER	RIBOFLAVIN-SYN-RXN
G6309	b0554	577398	577613	G6309-MONOMER	
EG11916	b3999	4199504	4200094	EG11916-MONOMER	
G6276	b0506	533011	533826	G6276-MONOMER	
EG12082	b2288	2404629	2405072	NUOA-MONOMER	NADH-DEHYDROG-A-RXN // RXN0-5388
EG11763	b3596	3768177	3768638	EG11763-MONOMER	
EG11983	b2034	2105065	2106057	EG11983-MONOMER	RXN0-5210
EG10552	b2890	3033657	3035174	LYSS-MONOMER	LYSINE--TRNA-LIGASE-RXN // RXN-22679 // RXN-23898
EG11067	b4258	4480982	4483837	VALS-MONOMER	RXN-23924 // RXN-23922 // RXN-23923 // RXN-23954 // RXN-9377 // RXN-23953 // RXN-23955 // VALINE--TRNA-LIGASE-RXN // RXN-22838 // RXN-23902
EG11283	b4583	4322443	4323281	PHNE-MONOMER	ABC-23-RXN // TRANS-RXN-238
G6206	b0353	375459	376670	MHPT-MONOMER	TRANS-RXN0-457 // TRANS-RXN-61
G6941	b1745	1826916	1828259	SUCCARGDIHYDRO-MONOMER	SUCCARGDIHYDRO-RXN
G6535	b1028	1095544	1095846	G6535-MONOMER	
EG11205	b3972	4172057	4173085	UDPNACETYLMURAMATEDEHYDROG-MONOMER	UDPNACETYLMURAMATEDEHYDROG-RXN
EG11909	b3950	4143624	4143944	FRWB-MONOMER	
